id,split,source,source_for_model,reference,prediction_raw,prediction_clean,prediction_normalized,prediction,normalization_used,entities,entities_eval,entities_model,entities_gold
TCM_TEST_0001,test,同病异治体现了辨证论治的灵活性。,同病异治体现了辨证论治的灵活性。,Treating the same disease with different methods reflects the flexibility of treatment based on syndrome differentiation.,Sympathetic disease-differentiating remedies embody the flexibility of identifying and asserting remedies.,Sympathetic disease-differentiating remedies embody the flexibility of identifying and asserting remedies.,Sympathetic disease-differentiating remedies embody the flexibility of identifying and asserting remedies.,Sympathetic disease-differentiating remedies embody the flexibility of identifying and asserting remedies.,False,"[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]"
TCM_TEST_0002,test,异病同治适用于不同疾病表现相同证候的情况。,异病同治适用于不同疾病表现相同证候的情况。,Treating different diseases with the same therapy applies when different diseases manifest the same syndrome.,Idiopathic co-treatment applies to situations where different diseases exhibit the same syndrome.,Idiopathic co-treatment applies to situations where different diseases exhibit the same syndrome.,Idiopathic co-treatment applies to situations treating different diseases with the same therapy syndrome.,Idiopathic co-treatment applies to situations where different diseases exhibit the same syndrome.,False,"[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]",[],"[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]"
TCM_TEST_0003,test,麻疹初期透疹不畅时应采用透疹法。,麻疹初期透疹不畅时应采用透疹法。,"When measles eruption is delayed at the early stage, the eruption-promoting method should be applied.",The method of penetrating rash should be used when the early form of measles does not shrink.,The method of penetrating rash should be used when the early form of measles does not shrink.,The method of penetrating rash should be used when the early form of measles does not shrink.,The method of penetrating rash should be used when the early form of measles does not shrink.,False,"[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]","[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]",[],"[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]"
TCM_TEST_0004,test,肺热为主的麻疹中期应清泄肺热。,肺热为主的麻疹中期应清泄肺热。,"In the middle stage of measles dominated by lung heat, lung heat should be cleared.",Middle phases of the predominant spleen-heat syndrome should clear the excretion of spleen-heat.,Middle phases of the predominant spleen-heat syndrome should clear the excretion of spleen-heat.,Middle phases of the predominant lung heat syndrome should clear the excretion of spleen-heat.,Middle phases of the predominant spleen-heat syndrome should clear the excretion of spleen-heat.,False,"[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]","[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]",[],"[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""清泄"", ""en"": ""clearing"", ""type"": ""THERAPY""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]"
TCM_TEST_0005,test,阴阳学说可用于分析人体的生理活动。,阴阳学说可用于分析人体的生理活动。,Yin-Yang theory can be used to analyze physiological activities of the human body.,Yin-yang theory can be used to analyze the physiological activity of the human body.,Yin-yang theory can be used to analyze the physiological activity of the human body.,Yin-yang theory can be used to analyze the physiological activities of the human body.,Yin-yang theory can be used to analyze the physiological activity of the human body.,False,"[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}, {""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}]"
TCM_TEST_0006,test,阴阳学说可用于说明疾病的病理变化。,阴阳学说可用于说明疾病的病理变化。,Yin-Yang theory can be used to explain pathological changes of disease.,Yin-yang theory can be used to describe pathological changes of disease.,Yin-yang theory can be used to describe pathological changes of disease.,Yin-yang theory can be used to describe pathological changes of disease.,Yin-yang theory can be used to describe pathological changes of disease.,False,"[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]"
TCM_TEST_0007,test,动属阳，静属阴。,动属阳，静属阴。,"Motion pertains to Yang, and stillness pertains to Yin.",Movement belongs to Yang and Qi belongs to Yin.,Movement belongs to Yang and Qi belongs to Yin.,Movement belongs to Yang and Qi belongs to Yin.,Movement belongs to Yang and Qi belongs to Yin.,False,"[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0008,test,外属阳，内属阴。,外属阳，内属阴。,"The exterior pertains to Yang, and the interior pertains to Yin.",Yang belongs externally and Yin belongs internally.,Yang belongs externally and Yin belongs internally.,Yang belongs externally and Yin belongs internally.,Yang belongs externally and Yin belongs internally.,False,"[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0009,test,上属阳，下属阴。,上属阳，下属阴。,"The upper pertains to Yang, and the lower pertains to Yin.",The upper belongs to Yang and the lower belongs to Yin.,The upper belongs to Yang and the lower belongs to Yin.,The upper belongs to Yang and the lower belongs to Yin.,The upper belongs to Yang and the lower belongs to Yin.,False,"[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0010,test,热属阳，寒属阴。,热属阳，寒属阴。,"Heat pertains to Yang, and cold pertains to Yin.",Heat belongs to Yang and cold belongs to Yin.,Heat belongs to Yang and cold belongs to Yin.,Heat belongs to Yang and cold belongs to Yin.,Heat belongs to Yang and cold belongs to Yin.,False,"[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
