id,split,source,source_for_model,reference,prediction_raw,prediction_clean,prediction_normalized,prediction,normalization_used,entities
TCM_TEST_0001,test,即心、肺、脾、肝、肾，合称为“五脏”。,即[ORGAN] heart [/ORGAN]、[ORGAN] lungs [/ORGAN]、[ORGAN] spleen [/ORGAN]、[ORGAN] liver [/ORGAN]、[ORGAN] kidneys [/ORGAN]，合称为“[ORGAN_GROUP] five Zang-organs [/ORGAN_GROUP]”。,"The heart, lungs, spleen, liver and kidneys are together known as the five Zang-organs.","The heart, lungs, spleen, liver and kidneys are collectively known as the five Zang-organs.","The heart, lungs, spleen, liver and kidneys are collectively known as the five Zang-organs.","The heart, lungs, spleen, liver and kidneys are collectively known as the five Zang-organs.","The heart, lungs, spleen, liver and kidneys are collectively known as the five Zang-organs.",True,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""脾"", ""en"": ""spleen"", ""type"": ""ORGAN""}, {""zh"": ""肝"", ""en"": ""liver"", ""type"": ""ORGAN""}, {""zh"": ""肾"", ""en"": ""kidneys"", ""type"": ""ORGAN""}, {""zh"": ""五脏"", ""en"": ""five Zang-organs"", ""type"": ""ORGAN_GROUP""}]"
TCM_TEST_0002,test,奇恒之腑有六，即脑、髓、骨、脉、胆、女子胞。,[ORGAN_GROUP] extraordinary Fu-organs [/ORGAN_GROUP]有六，即[ORGAN] brain [/ORGAN]、[SUBSTANCE] marrow [/SUBSTANCE]、[TISSUE] bone [/TISSUE]、[DIAGNOSIS] pulse [/DIAGNOSIS]、[ORGAN] gallbladder [/ORGAN]、[ORGAN] uterus [/ORGAN]。,"Extraordinary Fu-organs, unlike ordinary ones, comprise six organs, namely, the brain, marrow, bone, vessel, gallbladder and uterus.","There are six extraordinary Fu-organs: the brain, the marrow, the bone, the pulse, the gallbladder, and the uterus.","There are six extraordinary Fu-organs: the brain, the marrow, the bone, the pulse, the gallbladder, and the uterus.","There are six extraordinary Fu-organs: the brain, the marrow, the bone, the pulse, the gallbladder, and the uterus.","There are six extraordinary Fu-organs: the brain, the marrow, the bone, the pulse, the gallbladder, and the uterus.",True,"[{""zh"": ""奇恒之腑"", ""en"": ""extraordinary Fu-organs"", ""type"": ""ORGAN_GROUP""}, {""zh"": ""脑"", ""en"": ""brain"", ""type"": ""ORGAN""}, {""zh"": ""髓"", ""en"": ""marrow"", ""type"": ""SUBSTANCE""}, {""zh"": ""骨"", ""en"": ""bone"", ""type"": ""TISSUE""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""胆"", ""en"": ""gallbladder"", ""type"": ""ORGAN""}, {""zh"": ""女子胞"", ""en"": ""uterus"", ""type"": ""ORGAN""}]"
TCM_TEST_0003,test,心为神之居，主血脉，神是气血所化，故有神明之心。,[ORGAN] heart [/ORGAN]为[SUBSTANCE] mind [/SUBSTANCE]之居，[FUNCTION] govern blood and vessels [/FUNCTION]，[SUBSTANCE] mind [/SUBSTANCE]是[SUBSTANCE] Qi and blood [/SUBSTANCE]所化，故有[SUBSTANCE] mind [/SUBSTANCE]明之[ORGAN] heart [/ORGAN]。,The heart governs the vessels and blood circulation and the mind takes Qi-blood as its material basis.,"The heart is the abode of the mind, it governs blood and vessels, and the mind is the product of Qi and blood, so there is a clear heart.","The heart is the abode of the mind, it governs blood and vessels, and the mind is the product of Qi and blood, so there is a clear heart.","The heart is the abode of the mind, it govern blood and vessels, and the mind is the product of Qi and blood, so there is a clear heart.","The heart is the abode of the mind, it govern blood and vessels, and the mind is the product of Qi and blood, so there is a clear heart.",True,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""神"", ""en"": ""mind"", ""type"": ""SUBSTANCE""}, {""zh"": ""主血脉"", ""en"": ""govern blood and vessels"", ""type"": ""FUNCTION""}, {""zh"": ""气血"", ""en"": ""Qi and blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0004,test,全身的血，都在脉中运行，依赖于心气的推动作用而输送到全身，发挥其濡养作用。,全身的[SUBSTANCE] blood [/SUBSTANCE]，都在[DIAGNOSIS] pulse [/DIAGNOSIS]中运行，依赖于[ORGAN] heart [/ORGAN][SUBSTANCE] Qi [/SUBSTANCE]的推动作用而输送到全身，发挥其濡养作用。,"The normal circulation of all the blood in the vessels depends on the impulse of the heart-Qi, by which blood is transported to all parts of the body for nutritive purpose.","The blood circulates throughout the body via the pulse, depending on the stimulant function of the heart, Qi, and is transported throughout the body to serve its nutritional function.","The blood circulates throughout the body via the pulse, depending on the stimulant function of the heart, Qi, and is transported throughout the body to serve its nutritional function.","The blood circulates throughout the body via the pulse, depending on the stimulant function of the heart, Qi, and is transported throughout the body to serve its nutritional function.","The blood circulates throughout the body via the pulse, depending on the stimulant function of the heart, Qi, and is transported throughout the body to serve its nutritional function.",True,"[{""zh"": ""血"", ""en"": ""blood"", ""type"": ""SUBSTANCE""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""气"", ""en"": ""Qi"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0005,test,脉，即血脉，又称经脉，为血之府。,[DIAGNOSIS] pulse [/DIAGNOSIS]，即[TISSUE] blood vessels [/TISSUE]，又称[MERIDIAN] channels [/MERIDIAN]，为[SUBSTANCE] blood [/SUBSTANCE]之府。,"The vessels, also called channels, are the house of blood.","The pulse, or blood vessels, also known as channels, is the headquarters of blood.","The pulse, or blood vessels, also known as channels, is the headquarters of blood.","The pulse, or blood vessels, also known as channels, is the headquarters of blood.","The pulse, or blood vessels, also known as channels, is the headquarters of blood.",True,"[{""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""血脉"", ""en"": ""blood vessels"", ""type"": ""TISSUE""}, {""zh"": ""经脉"", ""en"": ""channels"", ""type"": ""MERIDIAN""}, {""zh"": ""血"", ""en"": ""blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0006,test,舌的功能是主司味觉和表达语言，其功能正常与否，有赖于心主血脉和心主神志的生理功能。,[DIAGNOSIS] tongue [/DIAGNOSIS]的功能是主司味觉和表达语言，其功能正常与否，有赖于[ORGAN] heart [/ORGAN][FUNCTION] govern blood and vessels [/FUNCTION]和[ORGAN] heart [/ORGAN][FUNCTION] control mental activities [/FUNCTION]的[PHYSIOLOGY] physiological [/PHYSIOLOGY]功能。,"The tongue serves two main functions: that of discriminating tastes and that of aiding in speech, the performance of which depends on the heart's physiological functions in governing blood and vessels and in controlling mental activities.","The function of the tongue is primarily to control taste and speech, and its function depends on the function of the heart to govern blood and vessels and the physiological function of the heart to control mental activities.","The function of the tongue is primarily to control taste and speech, and its function depends on the function of the heart to govern blood and vessels and the physiological function of the heart to control mental activities.","The function of the tongue is primarily to control taste and speech, and its function depends on the function of the heart to govern blood and vessels and the physiological function of the heart to control mental activities.","The function of the tongue is primarily to control taste and speech, and its function depends on the function of the heart to govern blood and vessels and the physiological function of the heart to control mental activities.",True,"[{""zh"": ""舌"", ""en"": ""tongue"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""主血脉"", ""en"": ""govern blood and vessels"", ""type"": ""FUNCTION""}, {""zh"": ""主神志"", ""en"": ""control mental activities"", ""type"": ""FUNCTION""}, {""zh"": ""生理"", ""en"": ""physiological"", ""type"": ""PHYSIOLOGY""}]"
TCM_TEST_0007,test,如心的功能正常，则舌体红活荣润，柔软灵活，味觉灵敏，语言流利。,如[ORGAN] heart [/ORGAN]的功能正常，则[DIAGNOSIS] tongue [/DIAGNOSIS]体红活荣润，柔软灵活，味觉灵敏，语言流利。,"Therefore, if the heart functions properly, the tongue must be ruddy-lustrous and soft-nimble, taste sensations keen and speech fluent.","When the heart functions normally, the tongue is vibrant and vibrant, soft and flexible, sensitive to taste, and fluent in language.","When the heart functions normally, the tongue is vibrant and vibrant, soft and flexible, sensitive to taste, and fluent in language.","When the heart functions normally, the tongue is vibrant and vibrant, soft and flexible, sensitive to taste, and fluent in language.","When the heart functions normally, the tongue is vibrant and vibrant, soft and flexible, sensitive to taste, and fluent in language.",True,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""舌"", ""en"": ""tongue"", ""type"": ""DIAGNOSIS""}]"
TCM_TEST_0008,test,肺的主要功能是：主气、司呼吸，主宣发肃降，通调水道，朝百脉而主治节，以辅佐心脏调节气血的运行。,[ORGAN] lungs [/ORGAN]的主要功能是：[FUNCTION] govern Qi [/FUNCTION]、司[DIAGNOSIS] breath [/DIAGNOSIS]，主[FUNCTION] dispersing and descending functions [/FUNCTION]，[FUNCTION] regulating water metabolism [/FUNCTION]，朝百[DIAGNOSIS] pulse [/DIAGNOSIS]而主治节，以辅佐[ORGAN] heart [/ORGAN][ORGAN] Zang [/ORGAN]调节[SUBSTANCE] Qi and blood [/SUBSTANCE]的运行。,"Their main jobs are to dominate Qi and respiration, fulfil the dispersing and descending functions, participate in regulating water metabolism, and communicate with numerous vessels to achieve coordination of functional activities of the whole body, assisting the heart in maintaining normal circulation of Qi-blood.","The main functions of the lungs are: to govern Qi, to regulate breath, to regulate circulation of Qi and blood, and to regulate circulation of Qi and blood.","The main functions of the lungs are: to govern Qi, to regulate breath, to regulate circulation of Qi and blood, and to regulate circulation of Qi and blood.","The main functions of the lungs are: to govern Qi, to regulate breath, to regulate circulation of Qi and blood, and to regulate circulation of Qi and blood. Terminology: dispersing and descending functions; regulating water metabolism; pulse; heart; Zang.","The main functions of the lungs are: to govern Qi, to regulate breath, to regulate circulation of Qi and blood, and to regulate circulation of Qi and blood. Terminology: dispersing and descending functions; regulating water metabolism; pulse; heart; Zang.",True,"[{""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""主气"", ""en"": ""govern Qi"", ""type"": ""FUNCTION""}, {""zh"": ""呼吸"", ""en"": ""breath"", ""type"": ""DIAGNOSIS""}, {""zh"": ""宣发肃降"", ""en"": ""dispersing and descending functions"", ""type"": ""FUNCTION""}, {""zh"": ""通调水道"", ""en"": ""regulating water metabolism"", ""type"": ""FUNCTION""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""脏"", ""en"": ""Zang"", ""type"": ""ORGAN""}, {""zh"": ""气血"", ""en"": ""Qi and blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0009,test,肺上通喉咙，外合皮毛，开窍于鼻，在志为忧，在液为涕。,[ORGAN] lungs [/ORGAN]上通[ORIFICE] larynx [/ORIFICE]咙，外合[TISSUE] skin and vellus hairs [/TISSUE]，开窍于[ORIFICE] nose [/ORIFICE]，在志为忧，在液为涕。,"The lungs, which extend upward to the larynx and open into the nose, are related outward to the skin and its hairs.","The lungs pass through the larynx and exudate the skin and vellus hairs, opening up at the nose, in the mood of anxiety, in the fluid.","The lungs pass through the larynx and exudate the skin and vellus hairs, opening up at the nose, in the mood of anxiety, in the fluid.","The lungs pass through the larynx and exudate the skin and vellus hairs, opening up at the nose, in the mood of anxiety, in the fluid.","The lungs pass through the larynx and exudate the skin and vellus hairs, opening up at the nose, in the mood of anxiety, in the fluid.",True,"[{""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""喉"", ""en"": ""larynx"", ""type"": ""ORIFICE""}, {""zh"": ""皮毛"", ""en"": ""skin and vellus hairs"", ""type"": ""TISSUE""}, {""zh"": ""鼻"", ""en"": ""nose"", ""type"": ""ORIFICE""}]"
TCM_TEST_0010,test,宗气的生成，主要依靠肺吸入的清气与脾胃运化的水谷精气相结合。,[SUBSTANCE] pectoral Qi [/SUBSTANCE]的生成，主要依靠[ORGAN] lungs [/ORGAN]吸入的清[SUBSTANCE] Qi [/SUBSTANCE]与[ORGAN] spleen [/ORGAN][ORGAN] stomach [/ORGAN][FUNCTION] transportation and transformation [/FUNCTION]的[SUBSTANCE] food and drink [/SUBSTANCE][SUBSTANCE] essence Qi [/SUBSTANCE]相结合。,Pectoral Qi is mainly produced by combination of fresh air inhaled into the lungs with food essence derived from the spleen and stomach.,"The production of pectoral Qi is mainly dependent on the purification of the lungs, which is absorbed by the lungs, and the transportation and transformation of the stomach by the spleen and the essence of food and drink.","The production of pectoral Qi is mainly dependent on the purification of the lungs, which is absorbed by the lungs, and the transportation and transformation of the stomach by the spleen and the essence of food and drink.","The production of pectoral Qi is mainly dependent on the purification of the lungs, which is absorbed by the lungs, and the transportation and transformation of the stomach by the spleen and the essence Qi of food and drink.","The production of pectoral Qi is mainly dependent on the purification of the lungs, which is absorbed by the lungs, and the transportation and transformation of the stomach by the spleen and the essence Qi of food and drink.",True,"[{""zh"": ""宗气"", ""en"": ""pectoral Qi"", ""type"": ""SUBSTANCE""}, {""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""气"", ""en"": ""Qi"", ""type"": ""SUBSTANCE""}, {""zh"": ""脾"", ""en"": ""spleen"", ""type"": ""ORGAN""}, {""zh"": ""胃"", ""en"": ""stomach"", ""type"": ""ORGAN""}, {""zh"": ""运化"", ""en"": ""transportation and transformation"", ""type"": ""FUNCTION""}, {""zh"": ""水谷"", ""en"": ""food and drink"", ""type"": ""SUBSTANCE""}, {""zh"": ""精气"", ""en"": ""essence Qi"", ""type"": ""SUBSTANCE""}]"
