id,split,zh,term_count_gold,bio_span_count,gap,reason,entities_gold,bio_spans_json
TCM_TRAIN_0002,train,中医学以脏腑经络的生理和病理为基础。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""},{""zh"":""生理病理"",""en"":""physiology and pathology"",""type"":""CONCEPT""}]","[{""start"":4,""end"":6,""text"":""脏腑"",""type"":""ORGAN""},{""start"":6,""end"":8,""text"":""经络"",""type"":""ORGAN""}]"
TCM_TRAIN_0011,train,阴阳双方在一定条件下可以互相转化。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""阴阳转化"",""en"":""transformation of Yin and Yang"",""type"":""THERAPY""},{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]","[{""start"":5,""end"":9,""text"":""一定条件"",""type"":""CONCEPT""}]"
TCM_TRAIN_0084,train,气化作用推动精、气、血、津液的代谢转化。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气化作用"",""en"":""Qi transformation"",""type"":""THERAPY""},{""zh"":""精气血津液"",""en"":""essence, Qi, blood and body fluids"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":4,""text"":""气化作用"",""type"":""CONCEPT""}]"
TCM_TRAIN_0085,train,水谷精微化生气、血、津液。,2,1,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""水谷精微"",""en"":""essence from food and drink"",""type"":""SUBSTANCE""},{""zh"":""气血津液"",""en"":""Qi, blood and body fluids"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":4,""text"":""水谷精微"",""type"":""CONCEPT""}]"
TCM_TRAIN_0094,train,气能生血。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""生血"",""en"":""generate blood"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""生血"",""type"":""CONCEPT""}]"
TCM_TRAIN_0095,train,气能行血。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""行血"",""en"":""promote circulation"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""行血"",""type"":""CONCEPT""}]"
TCM_TRAIN_0096,train,气能摄血。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""摄血"",""en"":""control blood"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""摄血"",""type"":""CONCEPT""}]"
TCM_TRAIN_0097,train,血能载气。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""载气"",""en"":""carry Qi"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""血"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""载气"",""type"":""CONCEPT""}]"
TCM_TRAIN_0098,train,血能养气。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""养气"",""en"":""nourish Qi"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""血"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""养气"",""type"":""CONCEPT""}]"
TCM_TRAIN_0099,train,气能生津。,3,2,1,"BIO is non-overlapping; nested, discontinuous, or non-exact entities are not fully represented.","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""},{""zh"":""生津"",""en"":""generate body fluids"",""type"":""PATHOGENESIS""}]","[{""start"":0,""end"":1,""text"":""气"",""type"":""CONCEPT""},{""start"":2,""end"":4,""text"":""生津"",""type"":""THERAPY""}]"
