id,split,field,before,after
TCM_TRAIN_0214,train,en,"Chong channel and Ren channel both originate from the uterus. In addition, the heart governs blood cireculation, the liver stores blood and the spleen keeps the blood flowing within the vessels, serving as the source of Qi-blood. All of them are closely related to the uterus in physiological functions and pathological changes.","Chong channel and Ren channel both originate from the uterus. In addition, the heart governs blood circulation, the liver stores blood and the spleen keeps the blood flowing within the vessels, serving as the source of Qi-blood. All of them are closely related to the uterus in physiological functions and pathological changes."
TCM_TRAIN_0351,train,en,"The factors contributing to this disturbance are numerous, but it results mainly from dysfunction of the lungs, spleen, and liver, and obstruction of Tri-Jiao as passageway. Of these factors, the most important one is dysfunction of the spleen in transporation and transformation as the saying goes, ""Such syndromes as dampness, swelling and distentim are all attributable to dysfunction of the spleen."" By disturbance in discharge of body fluid is meant edema resulting from water retention due to weakened function of in ternal organs to transform fluid into sweat and urine.","The factors contributing to this disturbance are numerous, but it results mainly from dysfunction of the lungs, spleen, and liver, and obstruction of Tri-Jiao as passageway. Of these factors, the most important one is dysfunction of the spleen in transportation and transformation as the saying goes, ""Such syndromes as dampness, swelling and distention are all attributable to dysfunction of the spleen."" By disturbance in discharge of body fluid is meant edema resulting from water retention due to weakened function of internal organs to transform fluid into sweat and urine."
TCM_TRAIN_0428,train,en,"It is often observed in the early or middle stage of an exogenic disease of in cases due to stagnation of phlegm, food, blood, water, etc.in the body.","It is often observed in the early or middle stage of an exogenic disease of in cases due to stagnation of phlegm, food, blood, water, etc. in the body."
TCM_TRAIN_0429,train,en,"Its clinicai manifestations are: high fever, mania, high voice and strong breath, abdominal pain and tenderness, constipation, replete and forceful pulse, etc.in addition to some morbid conditions marked by excessive accumulation of phlegm and fluid-retention, indigestion of food, reverse flow of water within the body, stagnant blood, etc.","Its clinical manifestations are: high fever, mania, high voice and strong breath, abdominal pain and tenderness, constipation, replete and forceful pulse, etc. in addition to some morbid conditions marked by excessive accumulation of phlegm and fluid-retention, indigestion of food, reverse flow of water within the body, stagnant blood, etc."
TCM_TRAIN_0457,train,en,"It indicates a morbid condition in which the upward and...; downward flow of Qi is disturbed, marked by an upward adverse flow of Qi of the Zang-Fu orgnas.","It indicates a morbid condition in which the upward and downward flow of Qi is disturbed, marked by an upward adverse flow of Qi of the Zang-Fu organs."
TCM_TRAIN_0500,train,en,"Its clinical manifestations are: convulsion, hyperphoria, accompanied by high fever, coma, delirium, etc., ofter seen in the climax of a febrile disease,","Its clinical manifestations are: convulsion, hyperphoria, accompanied by high fever, coma, delirium, etc., often seen in the climax of a febrile disease,"
TCM_TRAIN_0850,train,en,"For clinical monifestations refer to the section on ""the syndrome of deficiency of the liver-blood"".","For clinical manifestations refer to the section on ""the syndrome of deficiency of the liver-blood""."
TCM_TRAIN_0988,train,en,"For instance, in case of deficiency of blood or deficiency of both Qi and blood resulting from insufficient blood formation due to deficiency of Qi (the function of which is to produce blood), treatment should be aimed mainly at invigorating Qi supplemented by replenishing blood; in case of blood stasis resulting from deficiency or stagnation of Qi (the function of which is to promote blood circulation), also known as blood stasis due to deficiency of Qi or blood stasis due lo stagnation of Qi, treatment be aimed at invigorating Qi to promote blood circulation or at promoting the flow of Qi to activate blood circulation, thereby dissipating blood stasis; in case of syncope or hemoptysis and hematemesis due to bleeding resulting from adverse rising of Qi as a result of its functional disturbance, it is necessary to regulate blood flow by sending down adversely ascending Qi; in case of hemorrhage due to deficiency of Qi which fails to control blood flow, it is advisable to control blood flow by invigorating Qi; and in case of exhaustion of Qi resulting from massive hemorrhage (because deficiency of blood, the mother of Qi, leads to insuficiency of Qi), it is essential to arrest bleeding by invigorating Qi in acute cases on the basis of the principle of treating blood collapse by first supplementing Qi.","For instance, in case of deficiency of blood or deficiency of both Qi and blood resulting from insufficient blood formation due to deficiency of Qi (the function of which is to produce blood), treatment should be aimed mainly at invigorating Qi supplemented by replenishing blood; in case of blood stasis resulting from deficiency or stagnation of Qi (the function of which is to promote blood circulation), also known as blood stasis due to deficiency of Qi or blood stasis due to stagnation of Qi, treatment be aimed at invigorating Qi to promote blood circulation or at promoting the flow of Qi to activate blood circulation, thereby dissipating blood stasis; in case of syncope or hemoptysis and hematemesis due to bleeding resulting from adverse rising of Qi as a result of its functional disturbance, it is necessary to regulate blood flow by sending down adversely ascending Qi; in case of hemorrhage due to deficiency of Qi which fails to control blood flow, it is advisable to control blood flow by invigorating Qi; and in case of exhaustion of Qi resulting from massive hemorrhage (because deficiency of blood, the mother of Qi, leads to insufficiency of Qi), it is essential to arrest bleeding by invigorating Qi in acute cases on the basis of the principle of treating blood collapse by first supplementing Qi."
TCM_DEV_0015,dev,en,"Five elements refer to wood, fire earth, metal and water.","Five elements refer to wood, fire, earth, metal and water."
TCM_DEV_0041,dev,en,"Pathogenic factor, called pathogen for short, refers in a broad sense to all disease-producing factors, such as six climatic consitions in excess, epidemic pathogenic factors, emotional irritation, phlegm retention, blood stasis, etc.","Pathogenic factor, called pathogen for short, refers in a broad sense to all disease-producing factors, such as six climatic conditions in excess, epidemic pathogenic factors, emotional irritation, phlegm retention, blood stasis, etc."
TCM_DEV_0240,dev,en,"There may often appear rheumatic arthritis manifestated by the symptoms of severe pain in the joints and aversion to cold, known as ""arthralgia due to attack of cold"".","There may often appear rheumatic arthritis manifested by the symptoms of severe pain in the joints and aversion to cold, known as ""arthralgia due to attack of cold""."
TCM_TEST_0027,test,zh,肾精充足、则骨髓充盈，骨骼充实健壮，肢体活动轻劲有力；反之.肾精不足，骨髓空虚，则会引起骨骼发育不良，如小儿囱门迟闭、骨软无力。,肾精充足、则骨髓充盈，骨骼充实健壮，肢体活动轻劲有力；反之，肾精不足，骨髓空虚，则会引起骨骼发育不良，如小儿囱门迟闭、骨软无力。
TCM_TEST_0038,test,zh,中焦，一般是指膈以下至脐以上的上腹部，包括脾、胃.肝、胆等脏腑。,中焦，一般是指膈以下至脐以上的上腹部，包括脾、胃、肝、胆等脏腑。
TCM_TEST_0083,test,zh,(4)易致肿疡.火邪结于局部，易使气血壅滞，火盛则腐肉败血，而成痈肿疮疡，表现为局部红肿热痛，甚至化脓溃烂。,(4)易致肿疡。火邪结于局部，易使气血壅滞，火盛则腐肉败血，而成痈肿疮疡，表现为局部红肿热痛，甚至化脓溃烂。
TCM_TEST_0142,test,zh,多由邪热客胃，或由嗜酒、嗜食辛辣，过食膏粱厚味.助火生热，或由气滞、瘀血、痰湿，食积等郁而化热，火热蕴积胃腑而致。,多由邪热客胃，或由嗜酒、嗜食辛辣，过食膏粱厚味，助火生热，或由气滞、瘀血、痰湿，食积等郁而化热，火热蕴积胃腑而致。
TCM_TEST_0164,test,zh,其因或为风痰.或为瘀痰，或为风湿，可见于中风、痿证和瘫痪患者。,其因或为风痰，或为瘀痰，或为风湿，可见于中风、痿证和瘫痪患者。
TCM_TEST_0173,test,zh,寸关尺三部的脉象，分别称为寸脉、关脉.尺脉。,寸关尺三部的脉象，分别称为寸脉、关脉、尺脉。
TCM_TEST_0181,test,zh,洪脉主气分热盛，内热充斥，气盛血.脉道扩张，故脉体阔大.浮大满指、充实有力，来的力量大于去的力量。,洪脉主气分热盛，内热充斥，气盛血，脉道扩张，故脉体阔大，浮大满指、充实有力，来的力量大于去的力量。
