id,split,zh,en,text_type,term_count,entities,source_status,note,entities_gold,entities_model,entities_eval,term_count_gold,term_count_model,term_count_eval
TCM_TRAIN_0001,train,中医学理论体系以整体观念为主导思想。,The theoretical system of TCM takes the concept of wholism as its guiding principle.,01_core_tcm_theory,2,"[{""zh"":""中医学理论体系"",""en"":""theoretical system of TCM"",""type"":""CONCEPT""},{""zh"":""整体观念"",""en"":""concept of wholism"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""中医学理论体系"",""en"":""theoretical system of TCM"",""type"":""CONCEPT""},{""zh"":""整体观念"",""en"":""concept of wholism"",""type"":""CONCEPT""}]","[{""zh"":""中医学理论体系"",""en"":""theoretical system of TCM"",""type"":""CONCEPT""},{""zh"":""整体观念"",""en"":""concept of wholism"",""type"":""CONCEPT""}]","[{""zh"":""中医学理论体系"",""en"":""theoretical system of TCM"",""type"":""CONCEPT""},{""zh"":""整体观念"",""en"":""concept of wholism"",""type"":""CONCEPT""}]",2,2,2
TCM_TRAIN_0002,train,中医学以脏腑经络的生理和病理为基础。,TCM takes the physiology and pathology of the Zang-Fu organs and meridians as its basis.,01_core_tcm_theory,3,"[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""},{""zh"":""生理病理"",""en"":""physiology and pathology"",""type"":""CONCEPT""}]","[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""}]","[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""}]",3,2,2
TCM_TRAIN_0003,train,中医学以辨证论治为诊疗特点。,TCM takes Bianzheng Lunzhi as its diagnostic and therapeutic feature.,01_core_tcm_theory,2,"[{""zh"":""辨证论治"",""en"":""Bianzheng Lunzhi"",""type"":""SYNDROME""},{""zh"":""诊疗特点"",""en"":""diagnostic and therapeutic feature"",""type"":""THERAPY""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""辨证论治"",""en"":""Bianzheng Lunzhi"",""type"":""SYNDROME""},{""zh"":""诊疗特点"",""en"":""diagnostic and therapeutic feature"",""type"":""THERAPY""}]","[{""zh"":""辨证论治"",""en"":""Bianzheng Lunzhi"",""type"":""SYNDROME""},{""zh"":""诊疗特点"",""en"":""diagnostic and therapeutic feature"",""type"":""THERAPY""}]","[{""zh"":""辨证论治"",""en"":""Bianzheng Lunzhi"",""type"":""SYNDROME""},{""zh"":""诊疗特点"",""en"":""diagnostic and therapeutic feature"",""type"":""THERAPY""}]",2,2,2
TCM_TRAIN_0004,train,中医学认为人体与自然界有密切联系。,TCM holds that the human body maintains a close link with nature.,01_core_tcm_theory,3,"[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""自然界"",""en"":""nature"",""type"":""CONCEPT""},{""zh"":""密切联系"",""en"":""close link"",""type"":""DIAGNOSIS""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""自然界"",""en"":""nature"",""type"":""CONCEPT""},{""zh"":""密切联系"",""en"":""close link"",""type"":""DIAGNOSIS""}]","[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""自然界"",""en"":""nature"",""type"":""CONCEPT""},{""zh"":""密切联系"",""en"":""close link"",""type"":""DIAGNOSIS""}]","[{""zh"":""人体"",""en"":""human body"",""type"":""CONCEPT""},{""zh"":""自然界"",""en"":""nature"",""type"":""CONCEPT""},{""zh"":""密切联系"",""en"":""close link"",""type"":""DIAGNOSIS""}]",3,3,3
TCM_TRAIN_0005,train,中医学重视预防并主张治未病。,TCM attaches importance to prevention and preventive treatment of disease.,01_core_tcm_theory,2,"[{""zh"":""预防"",""en"":""prevention"",""type"":""CONCEPT""},{""zh"":""治未病"",""en"":""preventive treatment of disease"",""type"":""THERAPY""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""预防"",""en"":""prevention"",""type"":""CONCEPT""},{""zh"":""治未病"",""en"":""preventive treatment of disease"",""type"":""THERAPY""}]","[{""zh"":""预防"",""en"":""prevention"",""type"":""CONCEPT""},{""zh"":""治未病"",""en"":""preventive treatment of disease"",""type"":""THERAPY""}]","[{""zh"":""预防"",""en"":""prevention"",""type"":""CONCEPT""},{""zh"":""治未病"",""en"":""preventive treatment of disease"",""type"":""THERAPY""}]",2,2,2
TCM_TRAIN_0006,train,辨证要辨清疾病的病因、性质、部位及正邪关系。,"Bianzheng identifies the etiology, nature, location and relation between healthy Qi and pathogens.",01_core_tcm_theory,3,"[{""zh"":""辨证"",""en"":""Bianzheng"",""type"":""DIAGNOSIS""},{""zh"":""病因"",""en"":""etiology"",""type"":""ETIOLOGY""},{""zh"":""正邪关系"",""en"":""relation between healthy Qi and pathogens"",""type"":""PATHOGEN""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""辨证"",""en"":""Bianzheng"",""type"":""DIAGNOSIS""},{""zh"":""病因"",""en"":""etiology"",""type"":""ETIOLOGY""},{""zh"":""正邪关系"",""en"":""relation between healthy Qi and pathogens"",""type"":""PATHOGEN""}]","[{""zh"":""辨证"",""en"":""Bianzheng"",""type"":""DIAGNOSIS""},{""zh"":""病因"",""en"":""etiology"",""type"":""ETIOLOGY""},{""zh"":""正邪关系"",""en"":""relation between healthy Qi and pathogens"",""type"":""PATHOGEN""}]","[{""zh"":""辨证"",""en"":""Bianzheng"",""type"":""DIAGNOSIS""},{""zh"":""病因"",""en"":""etiology"",""type"":""ETIOLOGY""},{""zh"":""正邪关系"",""en"":""relation between healthy Qi and pathogens"",""type"":""PATHOGEN""}]",3,3,3
TCM_TRAIN_0007,train,论治根据辨证结果确定治疗原则和方法。,Lunzhi determines therapeutic principles and methods according to syndrome differentiation.,01_core_tcm_theory,3,"[{""zh"":""论治"",""en"":""Lunzhi"",""type"":""THERAPY""},{""zh"":""辨证"",""en"":""syndrome differentiation"",""type"":""DIAGNOSIS""},{""zh"":""治疗原则"",""en"":""therapeutic principles"",""type"":""THERAPY""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""论治"",""en"":""Lunzhi"",""type"":""THERAPY""},{""zh"":""辨证"",""en"":""syndrome differentiation"",""type"":""DIAGNOSIS""},{""zh"":""治疗原则"",""en"":""therapeutic principles"",""type"":""THERAPY""}]","[{""zh"":""论治"",""en"":""Lunzhi"",""type"":""THERAPY""},{""zh"":""辨证"",""en"":""syndrome differentiation"",""type"":""DIAGNOSIS""},{""zh"":""治疗原则"",""en"":""therapeutic principles"",""type"":""THERAPY""}]","[{""zh"":""论治"",""en"":""Lunzhi"",""type"":""THERAPY""},{""zh"":""辨证"",""en"":""syndrome differentiation"",""type"":""DIAGNOSIS""},{""zh"":""治疗原则"",""en"":""therapeutic principles"",""type"":""THERAPY""}]",3,3,3
TCM_TRAIN_0008,train,阴阳概括相互关联事物和现象的两个对立方面。,Yin and Yang summarize two opposite aspects of mutually related things and phenomena.,01_core_tcm_theory,2,"[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立方面"",""en"":""opposite aspects"",""type"":""LOCATION""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立方面"",""en"":""opposite aspects"",""type"":""LOCATION""}]","[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立方面"",""en"":""opposite aspects"",""type"":""LOCATION""}]","[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""对立方面"",""en"":""opposite aspects"",""type"":""LOCATION""}]",2,2,2
TCM_TRAIN_0009,train,阴阳既相互对立，又相互依存。,Yin and Yang are opposed to each other and interdependent.,01_core_tcm_theory,3,"[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""相互对立"",""en"":""opposed"",""type"":""CONCEPT""},{""zh"":""相互依存"",""en"":""interdependent"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""相互对立"",""en"":""opposed"",""type"":""CONCEPT""},{""zh"":""相互依存"",""en"":""interdependent"",""type"":""CONCEPT""}]","[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""相互对立"",""en"":""opposed"",""type"":""CONCEPT""},{""zh"":""相互依存"",""en"":""interdependent"",""type"":""CONCEPT""}]","[{""zh"":""阴阳"",""en"":""Yin and Yang"",""type"":""THEORY""},{""zh"":""相互对立"",""en"":""opposed"",""type"":""CONCEPT""},{""zh"":""相互依存"",""en"":""interdependent"",""type"":""CONCEPT""}]",3,3,3
TCM_TRAIN_0010,train,阴阳消长维持阴阳之间的相对平衡。,The wane and wax of Yin and Yang maintain relative balance between Yin and Yang.,01_core_tcm_theory,2,"[{""zh"":""阴阳消长"",""en"":""wane and wax of Yin and Yang"",""type"":""THERAPY""},{""zh"":""相对平衡"",""en"":""relative balance"",""type"":""CONCEPT""}]",user_approved_candidate,core theory; short aligned segment; no OCR/enum/truncation risk,"[{""zh"":""阴阳消长"",""en"":""wane and wax of Yin and Yang"",""type"":""THERAPY""},{""zh"":""相对平衡"",""en"":""relative balance"",""type"":""CONCEPT""}]","[{""zh"":""阴阳消长"",""en"":""wane and wax of Yin and Yang"",""type"":""THERAPY""},{""zh"":""相对平衡"",""en"":""relative balance"",""type"":""CONCEPT""}]","[{""zh"":""阴阳消长"",""en"":""wane and wax of Yin and Yang"",""type"":""THERAPY""},{""zh"":""相对平衡"",""en"":""relative balance"",""type"":""CONCEPT""}]",2,2,2
