id,split,source,source_for_model,reference,prediction_raw,prediction_clean,prediction_normalized,prediction,normalization_used,entities
TCM_TEST_0001,test,即心、肺、脾、肝、肾，合称为“五脏”。,即心、肺、脾、肝、肾，合称为“五脏”。,"The heart, lungs, spleen, liver and kidneys are together known as the five Zang-organs.","That is, the heart, lungs, spleen, liver, kidneys are referred to together as the “Five Dims”.","That is, the heart, lungs, spleen, liver, kidneys are referred to together as the “Five Dims”.","That is, the heart, lungs, spleen, liver, kidneys are referred to together as the “Five Dims”. Terminology: five Zang-organs.","That is, the heart, lungs, spleen, liver, kidneys are referred to together as the “Five Dims”.",False,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""脾"", ""en"": ""spleen"", ""type"": ""ORGAN""}, {""zh"": ""肝"", ""en"": ""liver"", ""type"": ""ORGAN""}, {""zh"": ""肾"", ""en"": ""kidneys"", ""type"": ""ORGAN""}, {""zh"": ""五脏"", ""en"": ""five Zang-organs"", ""type"": ""ORGAN_GROUP""}]"
TCM_TEST_0002,test,奇恒之腑有六，即脑、髓、骨、脉、胆、女子胞。,奇恒之腑有六，即脑、髓、骨、脉、胆、女子胞。,"Extraordinary Fu-organs, unlike ordinary ones, comprise six organs, namely, the brain, marrow, bone, vessel, gallbladder and uterus.","There are six Qi, namely, the brain, marrow, bone, pulse, urinary, and Qi.","There are six Qi, namely, the brain, marrow, bone, pulse, urinary, and Qi.","There are six Qi, namely, the brain, marrow, bone, pulse, urinary, and Qi. Terminology: extraordinary Fu-organs; gallbladder; uterus.","There are six Qi, namely, the brain, marrow, bone, pulse, urinary, and Qi.",False,"[{""zh"": ""奇恒之腑"", ""en"": ""extraordinary Fu-organs"", ""type"": ""ORGAN_GROUP""}, {""zh"": ""脑"", ""en"": ""brain"", ""type"": ""ORGAN""}, {""zh"": ""髓"", ""en"": ""marrow"", ""type"": ""SUBSTANCE""}, {""zh"": ""骨"", ""en"": ""bone"", ""type"": ""TISSUE""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""胆"", ""en"": ""gallbladder"", ""type"": ""ORGAN""}, {""zh"": ""女子胞"", ""en"": ""uterus"", ""type"": ""ORGAN""}]"
TCM_TEST_0003,test,心为神之居，主血脉，神是气血所化，故有神明之心。,心为神之居，主血脉，神是气血所化，故有神明之心。,The heart governs the vessels and blood circulation and the mind takes Qi-blood as its material basis.,"The heart is the home of God, the main bloodline, and the soul of God is the body of Qi and blood, so it has the heart of God.","The heart is the home of God, the main bloodline, and the soul of God is the body of Qi and blood, so it has the heart of God.","The heart is the home of God, the mind bloodline, and the soul of God is the body of Qi and blood, so it has the heart of God. Terminology: govern blood and vessels.","The heart is the home of God, the main bloodline, and the soul of God is the body of Qi and blood, so it has the heart of God.",False,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""神"", ""en"": ""mind"", ""type"": ""SUBSTANCE""}, {""zh"": ""主血脉"", ""en"": ""govern blood and vessels"", ""type"": ""FUNCTION""}, {""zh"": ""气血"", ""en"": ""Qi and blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0004,test,全身的血，都在脉中运行，依赖于心气的推动作用而输送到全身，发挥其濡养作用。,全身的血，都在脉中运行，依赖于心气的推动作用而输送到全身，发挥其濡养作用。,"The normal circulation of all the blood in the vessels depends on the impulse of the heart-Qi, by which blood is transported to all parts of the body for nutritive purpose.",The whole body of blood functions in the pulse and depends on the pulse of the heart and Qi for transmission to the whole body and for its nutrient function.,The whole body of blood functions in the pulse and depends on the pulse of the heart and Qi for transmission to the whole body and for its nutrient function.,The whole body of blood functions in the pulse and depends on the pulse of the heart and Qi for transmission to the whole body and for its nutrient function.,The whole body of blood functions in the pulse and depends on the pulse of the heart and Qi for transmission to the whole body and for its nutrient function.,False,"[{""zh"": ""血"", ""en"": ""blood"", ""type"": ""SUBSTANCE""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""气"", ""en"": ""Qi"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0005,test,脉，即血脉，又称经脉，为血之府。,脉，即血脉，又称经脉，为血之府。,"The vessels, also called channels, are the house of blood.","The pulse, the bloodline, is also referred to as the long-term pulse, which is the home of blood.","The pulse, the bloodline, is also referred to as the long-term pulse, which is the home of blood.","The pulse, the bloodline, is also referred to as the long-term pulse, which is the home of blood. Terminology: blood vessels; channels.","The pulse, the bloodline, is also referred to as the long-term pulse, which is the home of blood.",False,"[{""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""血脉"", ""en"": ""blood vessels"", ""type"": ""TISSUE""}, {""zh"": ""经脉"", ""en"": ""channels"", ""type"": ""MERIDIAN""}, {""zh"": ""血"", ""en"": ""blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0006,test,舌的功能是主司味觉和表达语言，其功能正常与否，有赖于心主血脉和心主神志的生理功能。,舌的功能是主司味觉和表达语言，其功能正常与否，有赖于心主血脉和心主神志的生理功能。,"The tongue serves two main functions: that of discriminating tastes and that of aiding in speech, the performance of which depends on the heart's physiological functions in governing blood and vessels and in controlling mental activities.",The functional function of the tongue is that of the Qi and the expression of the language. Its normal functioning depends on the physiological function of the Qi of the heart and the pulse and the Qi of the heart.,The functional function of the tongue is that of the Qi and the expression of the language. Its normal functioning depends on the physiological function of the Qi of the heart and the pulse and the Qi of the heart.,The functional function of the tongue is that of the Qi and the expression of the language. Its normal functioning depends on the physiological function of the Qi of the heart and the pulse and the Qi of the heart. Terminology: govern blood and vessels; control mental activities.,The functional function of the tongue is that of the Qi and the expression of the language. Its normal functioning depends on the physiological function of the Qi of the heart and the pulse and the Qi of the heart.,False,"[{""zh"": ""舌"", ""en"": ""tongue"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""主血脉"", ""en"": ""govern blood and vessels"", ""type"": ""FUNCTION""}, {""zh"": ""主神志"", ""en"": ""control mental activities"", ""type"": ""FUNCTION""}, {""zh"": ""生理"", ""en"": ""physiological"", ""type"": ""PHYSIOLOGY""}]"
TCM_TEST_0007,test,如心的功能正常，则舌体红活荣润，柔软灵活，味觉灵敏，语言流利。,如心的功能正常，则舌体红活荣润，柔软灵活，味觉灵敏，语言流利。,"Therefore, if the heart functions properly, the tongue must be ruddy-lustrous and soft-nimble, taste sensations keen and speech fluent.","In the event of normal functioning of the heart, the body of the tongue is dynamic and dynamic, flexible and flexible, sensitive to taste, and fluent in the language.","In the event of normal functioning of the heart, the body of the tongue is dynamic and dynamic, flexible and flexible, sensitive to taste, and fluent in the language.","In the event of normal functioning of the heart, the body of the tongue is dynamic and dynamic, flexible and flexible, sensitive to taste, and fluent in the language.","In the event of normal functioning of the heart, the body of the tongue is dynamic and dynamic, flexible and flexible, sensitive to taste, and fluent in the language.",False,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""舌"", ""en"": ""tongue"", ""type"": ""DIAGNOSIS""}]"
TCM_TEST_0008,test,肺的主要功能是：主气、司呼吸，主宣发肃降，通调水道，朝百脉而主治节，以辅佐心脏调节气血的运行。,肺的主要功能是：主气、司呼吸，主宣发肃降，通调水道，朝百脉而主治节，以辅佐心脏调节气血的运行。,"Their main jobs are to dominate Qi and respiration, fulfil the dispersing and descending functions, participate in regulating water metabolism, and communicate with numerous vessels to achieve coordination of functional activities of the whole body, assisting the heart in maintaining normal circulation of Qi-blood.","The main functions of the lungs are: main Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Q","The main functions of the lungs are: main Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Q","The main functions of the lungs are: main Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Q. Terminology: govern Qi; breath; dispersing and descending functions; regulating water metabolism; pulse; heart; Zang; Qi and blood.","The main functions of the lungs are: main Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Qi, Q",False,"[{""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""主气"", ""en"": ""govern Qi"", ""type"": ""FUNCTION""}, {""zh"": ""呼吸"", ""en"": ""breath"", ""type"": ""DIAGNOSIS""}, {""zh"": ""宣发肃降"", ""en"": ""dispersing and descending functions"", ""type"": ""FUNCTION""}, {""zh"": ""通调水道"", ""en"": ""regulating water metabolism"", ""type"": ""FUNCTION""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""脏"", ""en"": ""Zang"", ""type"": ""ORGAN""}, {""zh"": ""气血"", ""en"": ""Qi and blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0009,test,肺上通喉咙，外合皮毛，开窍于鼻，在志为忧，在液为涕。,肺上通喉咙，外合皮毛，开窍于鼻，在志为忧，在液为涕。,"The lungs, which extend upward to the larynx and open into the nose, are related outward to the skin and its hairs.","The lungs run through the throat and throat, and the outer skin is consummate in the nose, in the spirits, in the fluids, in the form of alms.","The lungs run through the throat and throat, and the outer skin is consummate in the nose, in the spirits, in the fluids, in the form of alms.","The lungs run through the throat and throat, and the outer skin is consummate in the nose, in the spirits, in the fluids, in the form of alms. Terminology: larynx; skin and vellus hairs.","The lungs run through the throat and throat, and the outer skin is consummate in the nose, in the spirits, in the fluids, in the form of alms.",False,"[{""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""喉"", ""en"": ""larynx"", ""type"": ""ORIFICE""}, {""zh"": ""皮毛"", ""en"": ""skin and vellus hairs"", ""type"": ""TISSUE""}, {""zh"": ""鼻"", ""en"": ""nose"", ""type"": ""ORIFICE""}]"
TCM_TEST_0010,test,宗气的生成，主要依靠肺吸入的清气与脾胃运化的水谷精气相结合。,宗气的生成，主要依靠肺吸入的清气与脾胃运化的水谷精气相结合。,Pectoral Qi is mainly produced by combination of fresh air inhaled into the lungs with food essence derived from the spleen and stomach.,The production of Qi depends mainly on the combination of Qi inhaled by the lungs with the spleen and stomach transport of Qi and Qi in the valley.,The production of Qi depends mainly on the combination of Qi inhaled by the lungs with the spleen and stomach transport of Qi and Qi in the valley.,The production of Qi depends mainly on the combination of Qi inhaled by the lungs with the spleen and stomach transport of Qi and Qi in the valley. Terminology: pectoral Qi; transportation and transformation; food and drink; essence Qi.,The production of Qi depends mainly on the combination of Qi inhaled by the lungs with the spleen and stomach transport of Qi and Qi in the valley.,False,"[{""zh"": ""宗气"", ""en"": ""pectoral Qi"", ""type"": ""SUBSTANCE""}, {""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""气"", ""en"": ""Qi"", ""type"": ""SUBSTANCE""}, {""zh"": ""脾"", ""en"": ""spleen"", ""type"": ""ORGAN""}, {""zh"": ""胃"", ""en"": ""stomach"", ""type"": ""ORGAN""}, {""zh"": ""运化"", ""en"": ""transportation and transformation"", ""type"": ""FUNCTION""}, {""zh"": ""水谷"", ""en"": ""food and drink"", ""type"": ""SUBSTANCE""}, {""zh"": ""精气"", ""en"": ""essence Qi"", ""type"": ""SUBSTANCE""}]"
