id,split,source,source_for_model,reference,prediction_raw,prediction_clean,prediction_normalized,prediction,normalization_used,entities
TCM_TEST_0001,test,即心、肺、脾、肝、肾，合称为“五脏”。,即[ORGAN] heart [/ORGAN]、[ORGAN] lungs [/ORGAN]、[ORGAN] spleen [/ORGAN]、[ORGAN] liver [/ORGAN]、[ORGAN] kidneys [/ORGAN]，合称为“[ORGAN_GROUP] five Zang-organs [/ORGAN_GROUP]”。,"The heart, lungs, spleen, liver and kidneys are together known as the five Zang-organs.","The [ORGAN] kidneys [/ORGAN], together known as the [ORGAN_GROUP] five Zang-organs [/ORGAN_GROUP]","The kidneys, together known as the five Zang-organs","The kidneys, together known as the five Zang-organs. Terminology: heart; lungs; spleen; liver.","The kidneys, together known as the five Zang-organs",False,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""脾"", ""en"": ""spleen"", ""type"": ""ORGAN""}, {""zh"": ""肝"", ""en"": ""liver"", ""type"": ""ORGAN""}, {""zh"": ""肾"", ""en"": ""kidneys"", ""type"": ""ORGAN""}, {""zh"": ""五脏"", ""en"": ""five Zang-organs"", ""type"": ""ORGAN_GROUP""}]"
TCM_TEST_0002,test,奇恒之腑有六，即脑、髓、骨、脉、胆、女子胞。,[ORGAN_GROUP] extraordinary Fu-organs [/ORGAN_GROUP]有六，即[ORGAN] brain [/ORGAN]、[SUBSTANCE] marrow [/SUBSTANCE]、[TISSUE] bone [/TISSUE]、[DIAGNOSIS] pulse [/DIAGNOSIS]、[ORGAN] gallbladder [/ORGAN]、[ORGAN] uterus [/ORGAN]。,"Extraordinary Fu-organs, unlike ordinary ones, comprise six organs, namely, the brain, marrow, bone, vessel, gallbladder and uterus.","[ORGAN_GROUP] Extraordinary Fu-organs [/ORGAN_GROUP] are six, namely the [ORGAN] brain [/ORGAN] , the [SUBSTANCE] marrow [/SUBSTANCE] , the [TISSUE] bone [/TISSUE] , the [DIAGNOSIS] pulse [/DIAGNOSIS] , the [ORGAN] gallbladder [/ORGAN] , the [ORGAN] uterus [/ORGAN].","Extraordinary Fu-organs are six, namely the brain, the marrow, the bone, the pulse, the gallbladder, the uterus.","Extraordinary Fu-organs are six, namely the brain, the marrow, the bone, the pulse, the gallbladder, the uterus.","Extraordinary Fu-organs are six, namely the brain, the marrow, the bone, the pulse, the gallbladder, the uterus.",False,"[{""zh"": ""奇恒之腑"", ""en"": ""extraordinary Fu-organs"", ""type"": ""ORGAN_GROUP""}, {""zh"": ""脑"", ""en"": ""brain"", ""type"": ""ORGAN""}, {""zh"": ""髓"", ""en"": ""marrow"", ""type"": ""SUBSTANCE""}, {""zh"": ""骨"", ""en"": ""bone"", ""type"": ""TISSUE""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""胆"", ""en"": ""gallbladder"", ""type"": ""ORGAN""}, {""zh"": ""女子胞"", ""en"": ""uterus"", ""type"": ""ORGAN""}]"
TCM_TEST_0003,test,心为神之居，主血脉，神是气血所化，故有神明之心。,[ORGAN] heart [/ORGAN]为[SUBSTANCE] mind [/SUBSTANCE]之居，[FUNCTION] govern blood and vessels [/FUNCTION]，[SUBSTANCE] mind [/SUBSTANCE]是[SUBSTANCE] Qi and blood [/SUBSTANCE]所化，故有[SUBSTANCE] mind [/SUBSTANCE]明之[ORGAN] heart [/ORGAN]。,The heart governs the vessels and blood circulation and the mind takes Qi-blood as its material basis.,"[ORGAN] heart [/ORGAN] is the abode of [SUBSTANCE] mind [/SUBSTANCE], [FUNCTION] govern blood and vessels [/FUNCTION], [SUBSTANCE] mind [/SUBSTANCE] is the essence of [SUBSTANCE] Qi and blood [/SUBSTANCE], so there is [SUBSTANCE] mind [/SUBSTANCE] clear [ORGAN] heart [/ORGAN].","heart is the abode of mind, govern blood and vessels, mind is the essence of Qi and blood, so there is mind clear heart.","heart is the abode of mind, govern blood and vessels, mind is the essence of Qi and blood, so there is mind clear heart.","heart is the abode of mind, govern blood and vessels, mind is the essence of Qi and blood, so there is mind clear heart.",False,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""神"", ""en"": ""mind"", ""type"": ""SUBSTANCE""}, {""zh"": ""主血脉"", ""en"": ""govern blood and vessels"", ""type"": ""FUNCTION""}, {""zh"": ""气血"", ""en"": ""Qi and blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0004,test,全身的血，都在脉中运行，依赖于心气的推动作用而输送到全身，发挥其濡养作用。,全身的[SUBSTANCE] blood [/SUBSTANCE]，都在[DIAGNOSIS] pulse [/DIAGNOSIS]中运行，依赖于[ORGAN] heart [/ORGAN][SUBSTANCE] Qi [/SUBSTANCE]的推动作用而输送到全身，发挥其濡养作用。,"The normal circulation of all the blood in the vessels depends on the impulse of the heart-Qi, by which blood is transported to all parts of the body for nutritive purpose.",The entire body of [SUBSTANCE] blood [/SUBSTANCE] runs in the [DIAGNOSIS] pulse [/DIAGNOSIS] and is transported to the whole body by the pushing action of [ORGAN] heart [/ORGAN][SUBSTANCE] Qi [/SUBSTANCE] to play its nutritional role.,The entire body of blood runs in the pulse and is transported to the whole body by the pushing action of heart Qi to play its nutritional role.,The entire body of blood runs in the pulse and is transported to the whole body by the pushing action of heart Qi to play its nutritional role.,The entire body of blood runs in the pulse and is transported to the whole body by the pushing action of heart Qi to play its nutritional role.,False,"[{""zh"": ""血"", ""en"": ""blood"", ""type"": ""SUBSTANCE""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""气"", ""en"": ""Qi"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0005,test,脉，即血脉，又称经脉，为血之府。,[DIAGNOSIS] pulse [/DIAGNOSIS]，即[TISSUE] blood vessels [/TISSUE]，又称[MERIDIAN] channels [/MERIDIAN]，为[SUBSTANCE] blood [/SUBSTANCE]之府。,"The vessels, also called channels, are the house of blood.","[DIAGNOSIS] pulse [/DIAGNOSIS], or [TISSUE] blood vessels [/TISSUE], also known as [MERIDIAN] channels [/MERIDIAN], is the capital of [SUBSTANCE] blood [/SUBSTANCE].","pulse, or blood vessels, also known as channels, is the capital of blood.","pulse, or blood vessels, also known as channels, is the capital of blood.","pulse, or blood vessels, also known as channels, is the capital of blood.",False,"[{""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""血脉"", ""en"": ""blood vessels"", ""type"": ""TISSUE""}, {""zh"": ""经脉"", ""en"": ""channels"", ""type"": ""MERIDIAN""}, {""zh"": ""血"", ""en"": ""blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0006,test,舌的功能是主司味觉和表达语言，其功能正常与否，有赖于心主血脉和心主神志的生理功能。,[DIAGNOSIS] tongue [/DIAGNOSIS]的功能是主司味觉和表达语言，其功能正常与否，有赖于[ORGAN] heart [/ORGAN][FUNCTION] govern blood and vessels [/FUNCTION]和[ORGAN] heart [/ORGAN][FUNCTION] control mental activities [/FUNCTION]的[PHYSIOLOGY] physiological [/PHYSIOLOGY]功能。,"The tongue serves two main functions: that of discriminating tastes and that of aiding in speech, the performance of which depends on the heart's physiological functions in governing blood and vessels and in controlling mental activities.","The function of [DIAGNOSIS] tongue [/DIAGNOSIS] is the primary taste and expression language, and its function depends on the physiological function of the heart [/ORGAN][FUNCTION] govern blood and vessels [/FUNCTION] and the heart [/ORGAN][FUNCTION] control mental activities [/FUNCTION].","The function of tongue is the primary taste and expression language, and its function depends on the physiological function of the heart govern blood and vessels and the heart control mental activities.","The function of tongue is the primary taste and expression language, and its function depends on the physiological function of the heart govern blood and vessels and the heart control mental activities.","The function of tongue is the primary taste and expression language, and its function depends on the physiological function of the heart govern blood and vessels and the heart control mental activities.",False,"[{""zh"": ""舌"", ""en"": ""tongue"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""主血脉"", ""en"": ""govern blood and vessels"", ""type"": ""FUNCTION""}, {""zh"": ""主神志"", ""en"": ""control mental activities"", ""type"": ""FUNCTION""}, {""zh"": ""生理"", ""en"": ""physiological"", ""type"": ""PHYSIOLOGY""}]"
TCM_TEST_0007,test,如心的功能正常，则舌体红活荣润，柔软灵活，味觉灵敏，语言流利。,如[ORGAN] heart [/ORGAN]的功能正常，则[DIAGNOSIS] tongue [/DIAGNOSIS]体红活荣润，柔软灵活，味觉灵敏，语言流利。,"Therefore, if the heart functions properly, the tongue must be ruddy-lustrous and soft-nimble, taste sensations keen and speech fluent.","If the [ORGAN] heart [/ORGAN] is functioning normally, the [DIAGNOSIS] tongue [/DIAGNOSIS] is vibrant, soft, flexible, sensitive to taste, and fluent in language.","If the heart is functioning normally, the tongue is vibrant, soft, flexible, sensitive to taste, and fluent in language.","If the heart is functioning normally, the tongue is vibrant, soft, flexible, sensitive to taste, and fluent in language.","If the heart is functioning normally, the tongue is vibrant, soft, flexible, sensitive to taste, and fluent in language.",False,"[{""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""舌"", ""en"": ""tongue"", ""type"": ""DIAGNOSIS""}]"
TCM_TEST_0008,test,肺的主要功能是：主气、司呼吸，主宣发肃降，通调水道，朝百脉而主治节，以辅佐心脏调节气血的运行。,[ORGAN] lungs [/ORGAN]的主要功能是：[FUNCTION] govern Qi [/FUNCTION]、司[DIAGNOSIS] breath [/DIAGNOSIS]，主[FUNCTION] dispersing and descending functions [/FUNCTION]，[FUNCTION] regulating water metabolism [/FUNCTION]，朝百[DIAGNOSIS] pulse [/DIAGNOSIS]而主治节，以辅佐[ORGAN] heart [/ORGAN][ORGAN] Zang [/ORGAN]调节[SUBSTANCE] Qi and blood [/SUBSTANCE]的运行。,"Their main jobs are to dominate Qi and respiration, fulfil the dispersing and descending functions, participate in regulating water metabolism, and communicate with numerous vessels to achieve coordination of functional activities of the whole body, assisting the heart in maintaining normal circulation of Qi-blood.","The main functions of [ORGAN] lungs [/ORGAN] are: [FUNCTION] govern Qi [/FUNCTION] 司 [DIAGNOSIS] breath [/DIAGNOSIS], master [FUNCTION] dispersing and descending functions [/FUNCTION], [FUNCTION] regulating water metabolism [/FUNCTION], and [DIAGNOSIS] pulse [/DIAGNOSIS] to assist in the regulation of [ORGAN] heart [/ORGAN] Zang [/ORGAN] Qi and blood [/SUBSTANCE].","The main functions of lungs are: govern Qi 司 breath, master dispersing and descending functions, regulating water metabolism, and pulse to assist in the regulation of heart Zang Qi and blood.","The main functions of lungs are: govern Qi 司 breath, master dispersing and descending functions, regulating water metabolism, and pulse to assist in the regulation of heart Zang Qi and blood.","The main functions of lungs are: govern Qi 司 breath, master dispersing and descending functions, regulating water metabolism, and pulse to assist in the regulation of heart Zang Qi and blood.",False,"[{""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""主气"", ""en"": ""govern Qi"", ""type"": ""FUNCTION""}, {""zh"": ""呼吸"", ""en"": ""breath"", ""type"": ""DIAGNOSIS""}, {""zh"": ""宣发肃降"", ""en"": ""dispersing and descending functions"", ""type"": ""FUNCTION""}, {""zh"": ""通调水道"", ""en"": ""regulating water metabolism"", ""type"": ""FUNCTION""}, {""zh"": ""脉"", ""en"": ""pulse"", ""type"": ""DIAGNOSIS""}, {""zh"": ""心"", ""en"": ""heart"", ""type"": ""ORGAN""}, {""zh"": ""脏"", ""en"": ""Zang"", ""type"": ""ORGAN""}, {""zh"": ""气血"", ""en"": ""Qi and blood"", ""type"": ""SUBSTANCE""}]"
TCM_TEST_0009,test,肺上通喉咙，外合皮毛，开窍于鼻，在志为忧，在液为涕。,[ORGAN] lungs [/ORGAN]上通[ORIFICE] larynx [/ORIFICE]咙，外合[TISSUE] skin and vellus hairs [/TISSUE]，开窍于[ORIFICE] nose [/ORIFICE]，在志为忧，在液为涕。,"The lungs, which extend upward to the larynx and open into the nose, are related outward to the skin and its hairs.","The [ORGAN] lungs [/ORGAN] pass through the [ORIFICE] larynx [/ORIFICE] membrane, exudate [TISSUE] skin and vellus hairs [/TISSUE], open at the [ORIFICE] nose [/ORIFICE], in pain, in fluid.","The lungs pass through the larynx membrane, exudate skin and vellus hairs, open at the nose, in pain, in fluid.","The lungs pass through the larynx membrane, exudate skin and vellus hairs, open at the nose, in pain, in fluid.","The lungs pass through the larynx membrane, exudate skin and vellus hairs, open at the nose, in pain, in fluid.",False,"[{""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""喉"", ""en"": ""larynx"", ""type"": ""ORIFICE""}, {""zh"": ""皮毛"", ""en"": ""skin and vellus hairs"", ""type"": ""TISSUE""}, {""zh"": ""鼻"", ""en"": ""nose"", ""type"": ""ORIFICE""}]"
TCM_TEST_0010,test,宗气的生成，主要依靠肺吸入的清气与脾胃运化的水谷精气相结合。,[SUBSTANCE] pectoral Qi [/SUBSTANCE]的生成，主要依靠[ORGAN] lungs [/ORGAN]吸入的清[SUBSTANCE] Qi [/SUBSTANCE]与[ORGAN] spleen [/ORGAN][ORGAN] stomach [/ORGAN][FUNCTION] transportation and transformation [/FUNCTION]的[SUBSTANCE] food and drink [/SUBSTANCE][SUBSTANCE] essence Qi [/SUBSTANCE]相结合。,Pectoral Qi is mainly produced by combination of fresh air inhaled into the lungs with food essence derived from the spleen and stomach.,[SUBSTANCE] The production of pectoral Qi [/SUBSTANCE] depends mainly on the [SUBSTANCE] of the [ORGAN] lungs [/ORGAN] Qi [/SUBSTANCE] being inhaled and combined with the [ORGAN] spleen [/ORGAN][ORGAN] stomach [/ORGAN][FUNCTION] transportation and transformation [/FUNCTION] food and drink [/SUBSTANCE][/SUBSTANCE] essence Qi [/SUBSTANCE],The production of pectoral Qi depends mainly on the of the lungs Qi being inhaled and combined with the spleen stomach transportation and transformation food and drink essence Qi,The production of pectoral Qi depends mainly on the of the lungs Qi being inhaled and combined with the spleen stomach transportation and transformation food and drink essence Qi,The production of pectoral Qi depends mainly on the of the lungs Qi being inhaled and combined with the spleen stomach transportation and transformation food and drink essence Qi,False,"[{""zh"": ""宗气"", ""en"": ""pectoral Qi"", ""type"": ""SUBSTANCE""}, {""zh"": ""肺"", ""en"": ""lungs"", ""type"": ""ORGAN""}, {""zh"": ""气"", ""en"": ""Qi"", ""type"": ""SUBSTANCE""}, {""zh"": ""脾"", ""en"": ""spleen"", ""type"": ""ORGAN""}, {""zh"": ""胃"", ""en"": ""stomach"", ""type"": ""ORGAN""}, {""zh"": ""运化"", ""en"": ""transportation and transformation"", ""type"": ""FUNCTION""}, {""zh"": ""水谷"", ""en"": ""food and drink"", ""type"": ""SUBSTANCE""}, {""zh"": ""精气"", ""en"": ""essence Qi"", ""type"": ""SUBSTANCE""}]"
