id,split,char_index,char,bio_label
TCM_TRAIN_0001,train,0,中,B-CONCEPT
TCM_TRAIN_0001,train,1,医,I-CONCEPT
TCM_TRAIN_0001,train,2,学,I-CONCEPT
TCM_TRAIN_0001,train,3,理,I-CONCEPT
TCM_TRAIN_0001,train,4,论,I-CONCEPT
TCM_TRAIN_0001,train,5,体,I-CONCEPT
TCM_TRAIN_0001,train,6,系,I-CONCEPT
TCM_TRAIN_0001,train,7,以,O
TCM_TRAIN_0001,train,8,整,B-CONCEPT
TCM_TRAIN_0001,train,9,体,I-CONCEPT
TCM_TRAIN_0001,train,10,观,I-CONCEPT
TCM_TRAIN_0001,train,11,念,I-CONCEPT
TCM_TRAIN_0001,train,12,为,O
TCM_TRAIN_0001,train,13,主,O
TCM_TRAIN_0001,train,14,导,O
TCM_TRAIN_0001,train,15,思,O
TCM_TRAIN_0001,train,16,想,O
TCM_TRAIN_0001,train,17,。,O
TCM_TRAIN_0002,train,0,中,O
TCM_TRAIN_0002,train,1,医,O
TCM_TRAIN_0002,train,2,学,O
TCM_TRAIN_0002,train,3,以,O
TCM_TRAIN_0002,train,4,脏,B-ORGAN
TCM_TRAIN_0002,train,5,腑,I-ORGAN
TCM_TRAIN_0002,train,6,经,B-ORGAN
TCM_TRAIN_0002,train,7,络,I-ORGAN
TCM_TRAIN_0002,train,8,的,O
TCM_TRAIN_0002,train,9,生,O
TCM_TRAIN_0002,train,10,理,O
TCM_TRAIN_0002,train,11,和,O
TCM_TRAIN_0002,train,12,病,O
TCM_TRAIN_0002,train,13,理,O
TCM_TRAIN_0002,train,14,为,O
TCM_TRAIN_0002,train,15,基,O
TCM_TRAIN_0002,train,16,础,O
TCM_TRAIN_0002,train,17,。,O
TCM_TRAIN_0003,train,0,中,O
TCM_TRAIN_0003,train,1,医,O
TCM_TRAIN_0003,train,2,学,O
TCM_TRAIN_0003,train,3,以,O
TCM_TRAIN_0003,train,4,辨,B-CONCEPT
TCM_TRAIN_0003,train,5,证,I-CONCEPT
TCM_TRAIN_0003,train,6,论,I-CONCEPT
TCM_TRAIN_0003,train,7,治,I-CONCEPT
TCM_TRAIN_0003,train,8,为,O
TCM_TRAIN_0003,train,9,诊,B-CONCEPT
TCM_TRAIN_0003,train,10,疗,I-CONCEPT
TCM_TRAIN_0003,train,11,特,I-CONCEPT
TCM_TRAIN_0003,train,12,点,I-CONCEPT
TCM_TRAIN_0003,train,13,。,O
TCM_TRAIN_0004,train,0,中,O
TCM_TRAIN_0004,train,1,医,O
TCM_TRAIN_0004,train,2,学,O
TCM_TRAIN_0004,train,3,认,O
TCM_TRAIN_0004,train,4,为,O
TCM_TRAIN_0004,train,5,人,B-CONCEPT
TCM_TRAIN_0004,train,6,体,I-CONCEPT
TCM_TRAIN_0004,train,7,与,O
TCM_TRAIN_0004,train,8,自,B-CONCEPT
TCM_TRAIN_0004,train,9,然,I-CONCEPT
TCM_TRAIN_0004,train,10,界,I-CONCEPT
TCM_TRAIN_0004,train,11,有,O
TCM_TRAIN_0004,train,12,密,B-CONCEPT
TCM_TRAIN_0004,train,13,切,I-CONCEPT
TCM_TRAIN_0004,train,14,联,I-CONCEPT
TCM_TRAIN_0004,train,15,系,I-CONCEPT
TCM_TRAIN_0004,train,16,。,O
TCM_TRAIN_0005,train,0,中,O
TCM_TRAIN_0005,train,1,医,O
TCM_TRAIN_0005,train,2,学,O
TCM_TRAIN_0005,train,3,重,O
TCM_TRAIN_0005,train,4,视,O
TCM_TRAIN_0005,train,5,预,B-CONCEPT
TCM_TRAIN_0005,train,6,防,I-CONCEPT
TCM_TRAIN_0005,train,7,并,O
TCM_TRAIN_0005,train,8,主,O
