term_id,zh,en,entity_type,aliases,source_status,note,preferred,variant_group,variant_note,normalization_action,occurrence_count,train_count,dev_count,test_count,entity_type_all,translation_variants,ambiguity_flag,corrected_from_en,corrected_from_entity_type,correction_note,evidence_ids
TERM_ALL_0001,一定条件,given conditions,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0011; source_translation_variants=given conditions; source_entity_types=CONCEPT; text_type=01_core_tcm_theory; evidence_ids=TCM_TRAIN_0011,YES,TERM_ALL_VG_0001,single_form,unchanged,1,1,0,0,CONCEPT,given conditions,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0011
TERM_ALL_0002,一身阳经,all Yang channels of the body,DIAGNOSIS,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TEST_0076; source_translation_variants=all Yang channels of the body; source_entity_types=DIAGNOSIS; text_type=02_zangfu_meridian_diagnosis; evidence_ids=TCM_TEST_0076,YES,TERM_ALL_VG_0002,single_form,unchanged,1,0,0,1,DIAGNOSIS,all Yang channels of the body,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TEST_0076
TERM_ALL_0003,七情过激,excessive seven emotions,PATHOGEN,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0150; source_translation_variants=excessive seven emotions; source_entity_types=PATHOGEN; text_type=07_bagang_qi_blood_fluid_differentiation; evidence_ids=TCM_TRAIN_0150,YES,TERM_ALL_VG_0003,single_form,unchanged,1,1,0,0,PATHOGEN,excessive seven emotions,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0150
TERM_ALL_0004,三焦,triple energizer,ORGAN,Tri-Jiao; triple Jiao,extracted_from_all_entities_template_normalized,"occurrence_count=8; first_occurrence=TCM_TRAIN_0088; source_translation_variants=triple Jiao; source_entity_types=ORGAN; text_type=05_yinyang_pathogenesis; 07_bagang_qi_blood_fluid_differentiation; 29_qi_blood_fluid_pattern_terms; 31_pediatric_disease_pathogenesis_patterns; 02_five_elements_qi_fluid_meridians; 05_bagang_pathogenesis_mixed_syndromes; evidence_ids=TCM_TRAIN_0088, TCM_TRAIN_0133, TCM_TRAIN_0814, TCM_TRAIN_0911, TCM_TRAIN_0912, TCM_DEV_0062, TCM_DEV_0205, TCM_DEV_0206",YES,TERM_ALL_VG_0004,single_form,template_preferred_applied; source_variants_kept_as_aliases,8,5,3,0,ORGAN,triple Jiao,NO,Tri-Jiao,,统一“三焦”译名，保留 Tri-Jiao 作别名。,"TCM_TRAIN_0088, TCM_TRAIN_0133, TCM_TRAIN_0814, TCM_TRAIN_0911, TCM_TRAIN_0912, TCM_DEV_0062, TCM_DEV_0205, TCM_DEV_0206"
TERM_ALL_0005,三焦不利,unsmooth triple Jiao,CONCEPT,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TEST_0137; source_translation_variants=unsmooth triple Jiao; source_entity_types=CONCEPT; text_type=03_zangfu_pathomechanism; evidence_ids=TCM_TEST_0137,YES,TERM_ALL_VG_0005,single_form,unchanged,1,0,0,1,CONCEPT,unsmooth triple Jiao,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TEST_0137
TERM_ALL_0006,三焦辨证,Triple-Jiao differentiation,SYNDROME,,extracted_from_all_entities_auto_normalized,"occurrence_count=2; first_occurrence=TCM_TRAIN_0286; source_translation_variants=Triple-Jiao differentiation; source_entity_types=SYNDROME; text_type=13_six_exogenous_pathogens; 01_core_theory_zangfu_pathogenesis; evidence_ids=TCM_TRAIN_0286, TCM_DEV_0030",YES,TERM_ALL_VG_0006,single_form,unchanged,2,1,1,0,SYNDROME,Triple-Jiao differentiation,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,"TCM_TRAIN_0286, TCM_DEV_0030"
TERM_ALL_0007,三阳病,diseases of three Yang channels,DISEASE,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0271; source_translation_variants=diseases of three Yang channels; source_entity_types=DISEASE; text_type=12_qi_blood_body_fluid_relations; evidence_ids=TCM_TRAIN_0271,YES,TERM_ALL_VG_0007,single_form,unchanged,1,1,0,0,DISEASE,diseases of three Yang channels,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0271
TERM_ALL_0008,三阳经,three Yang channels,SUBSTANCE,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0305; source_translation_variants=three Yang channels; source_entity_types=SUBSTANCE; text_type=14_vital_pathogenic_qi_pathological_products; evidence_ids=TCM_TRAIN_0305,YES,TERM_ALL_VG_0008,single_form,unchanged,1,1,0,0,SUBSTANCE,three Yang channels,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0305
TERM_ALL_0009,三阴病,diseases of three Yin channels,DISEASE,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0272; source_translation_variants=diseases of three Yin channels; source_entity_types=DISEASE; text_type=12_qi_blood_body_fluid_relations; evidence_ids=TCM_TRAIN_0272,YES,TERM_ALL_VG_0009,single_form,unchanged,1,1,0,0,DISEASE,diseases of three Yin channels,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0272
TERM_ALL_0010,三阴经,three Yin channels,SUBSTANCE,,extracted_from_all_entities_auto_normalized,occurrence_count=1; first_occurrence=TCM_TRAIN_0305; source_translation_variants=three Yin channels; source_entity_types=SUBSTANCE; text_type=14_vital_pathogenic_qi_pathological_products; evidence_ids=TCM_TRAIN_0305,YES,TERM_ALL_VG_0010,single_form,unchanged,1,1,0,0,SUBSTANCE,three Yin channels,NO,,,自动生成：未在模板中发现人工修正项，preferred 译名按源数据频率选择。,TCM_TRAIN_0305
