id,split,zh,spans_json,span_count,char_count,labels_json
TCM_TRAIN_0001,train,中医学理论体系以整体观念为主导思想。,"[{""start"":0,""end"":7,""text"":""中医学理论体系"",""type"":""CONCEPT""},{""start"":8,""end"":12,""text"":""整体观念"",""type"":""CONCEPT""}]",2,18,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0002,train,中医学以脏腑经络的生理和病理为基础。,"[{""start"":4,""end"":6,""text"":""脏腑"",""type"":""ORGAN""},{""start"":6,""end"":8,""text"":""经络"",""type"":""ORGAN""}]",2,18,"[""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0003,train,中医学以辨证论治为诊疗特点。,"[{""start"":4,""end"":8,""text"":""辨证论治"",""type"":""CONCEPT""},{""start"":9,""end"":13,""text"":""诊疗特点"",""type"":""CONCEPT""}]",2,14,"[""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0004,train,中医学认为人体与自然界有密切联系。,"[{""start"":5,""end"":7,""text"":""人体"",""type"":""CONCEPT""},{""start"":8,""end"":11,""text"":""自然界"",""type"":""CONCEPT""},{""start"":12,""end"":16,""text"":""密切联系"",""type"":""CONCEPT""}]",3,17,"[""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0005,train,中医学重视预防并主张治未病。,"[{""start"":5,""end"":7,""text"":""预防"",""type"":""CONCEPT""},{""start"":10,""end"":13,""text"":""治未病"",""type"":""CONCEPT""}]",2,14,"[""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0006,train,辨证要辨清疾病的病因、性质、部位及正邪关系。,"[{""start"":0,""end"":2,""text"":""辨证"",""type"":""CONCEPT""},{""start"":8,""end"":10,""text"":""病因"",""type"":""CONCEPT""},{""start"":17,""end"":21,""text"":""正邪关系"",""type"":""CONCEPT""}]",3,22,"[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0007,train,论治根据辨证结果确定治疗原则和方法。,"[{""start"":0,""end"":2,""text"":""论治"",""type"":""CONCEPT""},{""start"":4,""end"":6,""text"":""辨证"",""type"":""CONCEPT""},{""start"":10,""end"":14,""text"":""治疗原则"",""type"":""CONCEPT""}]",3,18,"[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0008,train,阴阳概括相互关联事物和现象的两个对立方面。,"[{""start"":0,""end"":2,""text"":""阴阳"",""type"":""CONCEPT""},{""start"":16,""end"":20,""text"":""对立方面"",""type"":""CONCEPT""}]",2,21,"[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0009,train,阴阳既相互对立，又相互依存。,"[{""start"":0,""end"":2,""text"":""阴阳"",""type"":""CONCEPT""},{""start"":3,""end"":7,""text"":""相互对立"",""type"":""CONCEPT""},{""start"":9,""end"":13,""text"":""相互依存"",""type"":""CONCEPT""}]",3,14,"[""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0010,train,阴阳消长维持阴阳之间的相对平衡。,"[{""start"":0,""end"":4,""text"":""阴阳消长"",""type"":""CONCEPT""},{""start"":11,""end"":15,""text"":""相对平衡"",""type"":""CONCEPT""}]",2,16,"[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]"
TCM_TRAIN_0011,train,阴阳双方在一定条件下可以互相转化。,"[{""start"":5,""end"":9,""text"":""一定条件"",""type"":""CONCEPT""}]",1,17,"[""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0012,train,人体内部充满阴阳对立统一的关系。,"[{""start"":0,""end"":2,""text"":""人体"",""type"":""CONCEPT""},{""start"":6,""end"":8,""text"":""阴阳"",""type"":""CONCEPT""},{""start"":8,""end"":12,""text"":""对立统一"",""type"":""CONCEPT""}]",3,16,"[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O""]"
TCM_TRAIN_0013,train,五脏藏精气，故属阴。,"[{""start"":0,""end"":2,""text"":""五脏"",""type"":""ORGAN""},{""start"":3,""end"":5,""text"":""精气"",""type"":""CONCEPT""},{""start"":8,""end"":9,""text"":""阴"",""type"":""CONCEPT""}]",3,10,"[""B-ORGAN"",""I-ORGAN"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]"
TCM_TRAIN_0014,train,六腑传化物，故属阳。,"[{""start"":0,""end"":2,""text"":""六腑"",""type"":""ORGAN""},{""start"":2,""end"":5,""text"":""传化物"",""type"":""CONCEPT""},{""start"":8,""end"":9,""text"":""阳"",""type"":""CONCEPT""}]",3,10,"[""B-ORGAN"",""I-ORGAN"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""O""]"
TCM_TRAIN_0015,train,阴阳的动态平衡是人体健康的标志。,"[{""start"":0,""end"":2,""text"":""阴阳"",""type"":""CONCEPT""},{""start"":3,""end"":7,""text"":""动态平衡"",""type"":""CONCEPT""},{""start"":10,""end"":12,""text"":""健康"",""type"":""CONCEPT""}]",3,16,"[""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O""]"
