id,split,source,source_for_model,reference,prediction_raw,prediction_clean,prediction_normalized,prediction,normalization_used,entities,entities_eval,entities_model,entities_gold
TCM_TEST_0001,test,同病异治体现了辨证论治的灵活性。,同病异治体现了[SYNDROME] treatment based on syndrome differentiation [/SYNDROME]的灵活性。,Treating the same disease with different methods reflects the flexibility of treatment based on syndrome differentiation.,Symptoms of the disease are the flexibility of [SYNDROME] treatment based on syndrome differentiation [/SYNDROME].,Symptoms of the disease are the flexibility of treatment based on syndrome differentiation.,Symptoms of the disease are the flexibility of treatment based on syndrome differentiation.,Symptoms of the disease are the flexibility of treatment based on syndrome differentiation.,False,"[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]"
TCM_TEST_0002,test,异病同治适用于不同疾病表现相同证候的情况。,异病同治适用于不同疾病表现相同证候的情况。,Treating different diseases with the same therapy applies when different diseases manifest the same syndrome.,Co-medication is applicable to cases where different diseases show the same signs and symptoms.,Co-medication is applicable to cases where different diseases show the same signs and symptoms.,Co-medication is applicable to cases treating different diseases with the same therapy signs and symptoms.,Co-medication is applicable to cases where different diseases show the same signs and symptoms.,False,"[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]",[],"[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]"
TCM_TEST_0003,test,麻疹初期透疹不畅时应采用透疹法。,麻疹初期透疹不畅时应采用透疹法。,"When measles eruption is delayed at the early stage, the eruption-promoting method should be applied.","In the early stages of measles, the procedure should be used if the rash does not resolve.","In the early stages of measles, the procedure should be used if the rash does not resolve.","In the early stages of measles, the procedure should be used if the rash does not resolve.","In the early stages of measles, the procedure should be used if the rash does not resolve.",False,"[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]","[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]",[],"[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]"
TCM_TEST_0004,test,肺热为主的麻疹中期应清泄肺热。,肺热为主的麻疹中期应清泄肺热。,"In the middle stage of measles dominated by lung heat, lung heat should be cleared.",Medium-term measles prevalent in the lungs should cleanse the lungs of fever.,Medium-term measles prevalent in the lungs should cleanse the lungs of fever.,Medium-term measles prevalent in the lungs should cleanse the lungs of fever.,Medium-term measles prevalent in the lungs should cleanse the lungs of fever.,False,"[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]","[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]",[],"[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""清泄"", ""en"": ""clearing"", ""type"": ""THERAPY""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]"
TCM_TEST_0005,test,阴阳学说可用于分析人体的生理活动。,[THEORY] Yin and Yang [/THEORY]学说可用于分析人体的生理活动。,Yin-Yang theory can be used to analyze physiological activities of the human body.,[THEORY] Yin and Yang [/THEORY] can be used to analyze the physical activity of the human body.,Yin and Yang can be used to analyze the physical activity of the human body.,Yin and Yang can be used to analyze the physiological activities of the human body.,Yin and Yang can be used to analyze the physical activity of the human body.,False,"[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}, {""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}]"
TCM_TEST_0006,test,阴阳学说可用于说明疾病的病理变化。,[THEORY] Yin and Yang [/THEORY]学说可用于说明疾病的[PATHOLOGY] pathological changes [/PATHOLOGY]。,Yin-Yang theory can be used to explain pathological changes of disease.,[THEORY] Yin and Yang [/THEORY] can be used to describe pathological changes in disease [/PATHOLOGY].,Yin and Yang can be used to describe pathological changes in disease.,Yin and Yang can be used to describe pathological changes in disease.,Yin and Yang can be used to describe pathological changes in disease.,False,"[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]"
TCM_TEST_0007,test,动属阳，静属阴。,动属[CONCEPT] Yang [/CONCEPT]，静属[CONCEPT] Yin [/CONCEPT]。,"Motion pertains to Yang, and stillness pertains to Yin.","The concept is a combination of the following: Yang [/CONCEPT], Yin [/CONCEPT].","The concept is a combination of the following: Yang, Yin.","The concept is a combination of the following: Yang, Yin.","The concept is a combination of the following: Yang, Yin.",False,"[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0008,test,外属阳，内属阴。,外属[CONCEPT] Yang [/CONCEPT]，内属[CONCEPT] Yin [/CONCEPT]。,"The exterior pertains to Yang, and the interior pertains to Yin.","The concept is that Yang is the outer, and the inner, Yin is the inner.","The concept is that Yang is the outer, and the inner, Yin is the inner.","The concept is that Yang is the outer, and the inner, Yin is the inner.","The concept is that Yang is the outer, and the inner, Yin is the inner.",False,"[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0009,test,上属阳，下属阴。,上属[CONCEPT] Yang [/CONCEPT]，下属[CONCEPT] Yin [/CONCEPT]。,"The upper pertains to Yang, and the lower pertains to Yin.","The concept is that Yang is a concept, and the concept is that Yin is a concept.","The concept is that Yang is a concept, and the concept is that Yin is a concept.","The concept is that Yang is a concept, and the concept is that Yin is a concept.","The concept is that Yang is a concept, and the concept is that Yin is a concept.",False,"[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0010,test,热属阳，寒属阴。,热属[CONCEPT] Yang [/CONCEPT]，[PATHOGEN] cold [/PATHOGEN]属[CONCEPT] Yin [/CONCEPT]。,"Heat pertains to Yang, and cold pertains to Yin.","Heat is related to [CONCEPT] Yang [/CONCEPT], [PATHOGEN] cold [/PATHOGEN] is related to [CONCEPT] Yin [/CONCEPT].","Heat is related to Yang, cold is related to Yin.","Heat is related to Yang, cold is related to Yin.","Heat is related to Yang, cold is related to Yin.",False,"[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
