id,split,zh,en,gold_count,model_count,eval_count,entities_gold,entities_model,entities_eval
TCM_TRAIN_0002,train,中医学以脏腑经络的生理和病理为基础。,TCM takes the physiology and pathology of the Zang-Fu organs and meridians as its basis.,3,2,2,"[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""},{""zh"":""生理病理"",""en"":""physiology and pathology"",""type"":""CONCEPT""}]","[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""}]","[{""zh"":""脏腑"",""en"":""Zang-Fu organs"",""type"":""ORGAN_SYSTEM""},{""zh"":""经络"",""en"":""meridians"",""type"":""MERIDIAN""}]"
TCM_TRAIN_0011,train,阴阳双方在一定条件下可以互相转化。,Yin and Yang can transform into each other under given conditions.,2,1,1,"[{""zh"":""阴阳转化"",""en"":""transformation of Yin and Yang"",""type"":""THERAPY""},{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]","[{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]","[{""zh"":""一定条件"",""en"":""given conditions"",""type"":""CONCEPT""}]"
TCM_TRAIN_0018,train,阴虚不能制约阳，故出现虚热证。,"When Yin is deficient, it cannot restrain Yang, leading to deficiency heat syndrome.",3,3,2,"[{""zh"":""阴虚"",""en"":""Yin deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""},{""zh"":""虚热证"",""en"":""deficiency heat syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阴虚"",""en"":""Yin deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""},{""zh"":""虚热证"",""en"":""deficiency heat syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阳"",""en"":""Yang"",""type"":""CONCEPT""},{""zh"":""虚热证"",""en"":""deficiency heat syndrome"",""type"":""SYNDROME""}]"
TCM_TRAIN_0019,train,阳虚不能制约阴，故出现虚寒证。,"When Yang is deficient, it cannot restrain Yin, leading to deficiency cold syndrome.",3,3,2,"[{""zh"":""阳虚"",""en"":""Yang deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""},{""zh"":""虚寒证"",""en"":""deficiency cold syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阳虚"",""en"":""Yang deficiency"",""type"":""DIAGNOSIS""},{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""},{""zh"":""虚寒证"",""en"":""deficiency cold syndrome"",""type"":""SYNDROME""}]","[{""zh"":""阴"",""en"":""Yin"",""type"":""CONCEPT""},{""zh"":""虚寒证"",""en"":""deficiency cold syndrome"",""type"":""SYNDROME""}]"
TCM_TRAIN_0029,train,脾主运化。,The spleen governs transportation and transformation.,2,2,1,"[{""zh"":""脾"",""en"":""spleen"",""type"":""ORGAN""},{""zh"":""主运化"",""en"":""govern transportation and transformation"",""type"":""FUNCTION""}]","[{""zh"":""脾"",""en"":""spleen"",""type"":""ORGAN""},{""zh"":""主运化"",""en"":""govern transportation and transformation"",""type"":""FUNCTION""}]","[{""zh"":""脾"",""en"":""spleen"",""type"":""ORGAN""}]"
TCM_TRAIN_0048,train,肺肃降功能使肺气向下运行。,The descending function of the lungs moves lung-Qi downward.,3,3,2,"[{""zh"":""肃降"",""en"":""descending function"",""type"":""FUNCTION""},{""zh"":""肺气"",""en"":""lung-Qi"",""type"":""SUBSTANCE""},{""zh"":""向下运行"",""en"":""move downward"",""type"":""THERAPY""}]","[{""zh"":""肃降"",""en"":""descending function"",""type"":""FUNCTION""},{""zh"":""肺气"",""en"":""lung-Qi"",""type"":""SUBSTANCE""},{""zh"":""向下运行"",""en"":""move downward"",""type"":""THERAPY""}]","[{""zh"":""肃降"",""en"":""descending function"",""type"":""FUNCTION""},{""zh"":""肺气"",""en"":""lung-Qi"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0051,train,脾主升清，将精微上输心肺。,The spleen sends clear essence upward to the heart and lungs.,3,3,2,"[{""zh"":""脾"",""en"":""spleen"",""type"":""ORGAN""},{""zh"":""升清"",""en"":""sending clear essence upward"",""type"":""THERAPY""},{""zh"":""心肺"",""en"":""heart and lungs"",""type"":""CONCEPT""}]","[{""zh"":""脾"",""en"":""spleen"",""type"":""ORGAN""},{""zh"":""升清"",""en"":""sending clear essence upward"",""type"":""THERAPY""},{""zh"":""心肺"",""en"":""heart and lungs"",""type"":""CONCEPT""}]","[{""zh"":""脾"",""en"":""spleen"",""type"":""ORGAN""},{""zh"":""心肺"",""en"":""heart and lungs"",""type"":""CONCEPT""}]"
TCM_TRAIN_0060,train,肝肾同源说明肝血与肾精相互滋生。,The common source of the liver and kidneys means liver blood and kidney essence nourish each other.,3,3,2,"[{""zh"":""肝肾同源"",""en"":""common source of liver and kidneys"",""type"":""CONCEPT""},{""zh"":""肝血"",""en"":""liver blood"",""type"":""SUBSTANCE""},{""zh"":""肾精"",""en"":""kidney essence"",""type"":""SUBSTANCE""}]","[{""zh"":""肝肾同源"",""en"":""common source of liver and kidneys"",""type"":""CONCEPT""},{""zh"":""肝血"",""en"":""liver blood"",""type"":""SUBSTANCE""},{""zh"":""肾精"",""en"":""kidney essence"",""type"":""SUBSTANCE""}]","[{""zh"":""肝血"",""en"":""liver blood"",""type"":""SUBSTANCE""},{""zh"":""肾精"",""en"":""kidney essence"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0084,train,气化作用推动精、气、血、津液的代谢转化。,"Qi transformation drives the metabolism and transformation of essence, Qi, blood and body fluids.",2,1,1,"[{""zh"":""气化作用"",""en"":""Qi transformation"",""type"":""THERAPY""},{""zh"":""精气血津液"",""en"":""essence, Qi, blood and body fluids"",""type"":""PATHOGENESIS""}]","[{""zh"":""气化作用"",""en"":""Qi transformation"",""type"":""THERAPY""}]","[{""zh"":""气化作用"",""en"":""Qi transformation"",""type"":""THERAPY""}]"
TCM_TRAIN_0085,train,水谷精微化生气、血、津液。,"Essence from food and drink transforms into Qi, blood and body fluids.",2,1,1,"[{""zh"":""水谷精微"",""en"":""essence from food and drink"",""type"":""SUBSTANCE""},{""zh"":""气血津液"",""en"":""Qi, blood and body fluids"",""type"":""PATHOGENESIS""}]","[{""zh"":""水谷精微"",""en"":""essence from food and drink"",""type"":""SUBSTANCE""}]","[{""zh"":""水谷精微"",""en"":""essence from food and drink"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0093,train,卫气调节腠理开合以排汗。,Defensive Qi regulates opening and closing of the striae for sweating.,3,3,2,"[{""zh"":""卫气"",""en"":""Defensive Qi"",""type"":""SUBSTANCE""},{""zh"":""腠理开合"",""en"":""opening and closing of striae"",""type"":""PATHOGENESIS""},{""zh"":""汗"",""en"":""sweat"",""type"":""FLUID""}]","[{""zh"":""卫气"",""en"":""Defensive Qi"",""type"":""SUBSTANCE""},{""zh"":""腠理开合"",""en"":""opening and closing of striae"",""type"":""PATHOGENESIS""},{""zh"":""汗"",""en"":""sweat"",""type"":""FLUID""}]","[{""zh"":""卫气"",""en"":""Defensive Qi"",""type"":""SUBSTANCE""},{""zh"":""汗"",""en"":""sweat"",""type"":""FLUID""}]"
TCM_TRAIN_0095,train,气能行血。,Qi can promote blood circulation.,3,3,2,"[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""行血"",""en"":""promote circulation"",""type"":""PATHOGENESIS""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""},{""zh"":""行血"",""en"":""promote circulation"",""type"":""PATHOGENESIS""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""血"",""en"":""blood"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0099,train,气能生津。,Qi can generate body fluids.,3,2,2,"[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""},{""zh"":""生津"",""en"":""generate body fluids"",""type"":""PATHOGENESIS""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""生津"",""en"":""generate body fluids"",""type"":""PATHOGENESIS""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""生津"",""en"":""generate body fluids"",""type"":""PATHOGENESIS""}]"
TCM_TRAIN_0100,train,气能行津。,Qi can promote the movement of body fluids.,3,2,1,"[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""},{""zh"":""行津"",""en"":""promote movement"",""type"":""PATHOGENESIS""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""行津"",""en"":""promote movement"",""type"":""PATHOGENESIS""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0101,train,气能摄津。,Qi can control body fluids.,3,2,2,"[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""},{""zh"":""摄津"",""en"":""control body fluids"",""type"":""SUBSTANCE""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""摄津"",""en"":""control body fluids"",""type"":""SUBSTANCE""}]","[{""zh"":""气"",""en"":""Qi"",""type"":""SUBSTANCE""},{""zh"":""摄津"",""en"":""control body fluids"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0111,train,心脾两脏与血液生成和运行密切相关。,The heart and spleen are closely related to the production and movement of blood.,3,3,2,"[{""zh"":""心脾"",""en"":""heart and spleen"",""type"":""CONCEPT""},{""zh"":""血液生成"",""en"":""production of blood"",""type"":""PATHOGENESIS""},{""zh"":""运行"",""en"":""movement"",""type"":""PATHOGENESIS""}]","[{""zh"":""心脾"",""en"":""heart and spleen"",""type"":""CONCEPT""},{""zh"":""血液生成"",""en"":""production of blood"",""type"":""PATHOGENESIS""},{""zh"":""运行"",""en"":""movement"",""type"":""PATHOGENESIS""}]","[{""zh"":""心脾"",""en"":""heart and spleen"",""type"":""CONCEPT""},{""zh"":""运行"",""en"":""movement"",""type"":""PATHOGENESIS""}]"
TCM_TRAIN_0113,train,心肾相交维持水火既济。,Coordination between the heart and kidneys maintains harmony between water and fire.,2,2,1,"[{""zh"":""心肾相交"",""en"":""coordination of heart and kidneys"",""type"":""CONCEPT""},{""zh"":""水火既济"",""en"":""harmony between water and fire"",""type"":""PATHOGEN""}]","[{""zh"":""心肾相交"",""en"":""coordination of heart and kidneys"",""type"":""CONCEPT""},{""zh"":""水火既济"",""en"":""harmony between water and fire"",""type"":""PATHOGEN""}]","[{""zh"":""水火既济"",""en"":""harmony between water and fire"",""type"":""PATHOGEN""}]"
TCM_TRAIN_0116,train,心肾不交可导致失眠和心烦。,Disharmony between the heart and kidneys can cause insomnia and vexation.,3,3,2,"[{""zh"":""心肾不交"",""en"":""disharmony between heart and kidneys"",""type"":""CONCEPT""},{""zh"":""失眠"",""en"":""insomnia"",""type"":""SYMPTOM""},{""zh"":""心烦"",""en"":""vexation"",""type"":""CONCEPT""}]","[{""zh"":""心肾不交"",""en"":""disharmony between heart and kidneys"",""type"":""CONCEPT""},{""zh"":""失眠"",""en"":""insomnia"",""type"":""SYMPTOM""},{""zh"":""心烦"",""en"":""vexation"",""type"":""CONCEPT""}]","[{""zh"":""失眠"",""en"":""insomnia"",""type"":""SYMPTOM""},{""zh"":""心烦"",""en"":""vexation"",""type"":""CONCEPT""}]"
TCM_TRAIN_0119,train,肺宣发肃降以布散津液。,The lungs disperse and descend to distribute body fluids.,3,3,2,"[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""宣发肃降"",""en"":""dispersing and descending"",""type"":""FUNCTION""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""}]","[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""宣发肃降"",""en"":""dispersing and descending"",""type"":""FUNCTION""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""}]","[{""zh"":""肺"",""en"":""lungs"",""type"":""ORGAN""},{""zh"":""津液"",""en"":""body fluids"",""type"":""SUBSTANCE""}]"
TCM_TRAIN_0122,train,肝脾关系主要体现于疏泄和运化。,The liver-spleen relationship is mainly reflected in free coursing and transportation-transformation.,3,3,2,"[{""zh"":""肝脾"",""en"":""liver and spleen"",""type"":""CONCEPT""},{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""运化"",""en"":""transportation-transformation"",""type"":""FUNCTION""}]","[{""zh"":""肝脾"",""en"":""liver and spleen"",""type"":""CONCEPT""},{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""运化"",""en"":""transportation-transformation"",""type"":""FUNCTION""}]","[{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""运化"",""en"":""transportation-transformation"",""type"":""FUNCTION""}]"
TCM_TRAIN_0123,train,肝主疏泄以调畅脾胃气机。,The liver governs free coursing to regulate Qi movement of the spleen and stomach.,3,3,2,"[{""zh"":""肝"",""en"":""liver"",""type"":""ORGAN""},{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""脾胃气机"",""en"":""Qi movement of spleen and stomach"",""type"":""SUBSTANCE""}]","[{""zh"":""肝"",""en"":""liver"",""type"":""ORGAN""},{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""脾胃气机"",""en"":""Qi movement of spleen and stomach"",""type"":""SUBSTANCE""}]","[{""zh"":""肝"",""en"":""liver"",""type"":""ORGAN""},{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""}]"
TCM_TRAIN_0124,train,肝胃关系主要体现于疏泄和受纳。,The liver-stomach relationship is mainly reflected in free coursing and reception.,3,3,2,"[{""zh"":""肝胃"",""en"":""liver and stomach"",""type"":""CONCEPT""},{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""受纳"",""en"":""reception"",""type"":""CONCEPT""}]","[{""zh"":""肝胃"",""en"":""liver and stomach"",""type"":""CONCEPT""},{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""受纳"",""en"":""reception"",""type"":""CONCEPT""}]","[{""zh"":""疏泄"",""en"":""free coursing"",""type"":""FUNCTION""},{""zh"":""受纳"",""en"":""reception"",""type"":""CONCEPT""}]"
TCM_TRAIN_0125,train,肝气犯胃可导致胃失和降。,Liver-Qi invading the stomach can impair the stomach's harmonizing and descending function.,3,3,2,"[{""zh"":""肝气犯胃"",""en"":""Liver-Qi invading stomach"",""type"":""SUBSTANCE""},{""zh"":""胃"",""en"":""stomach"",""type"":""ORGAN""},{""zh"":""和降"",""en"":""harmonizing and descending"",""type"":""THERAPY""}]","[{""zh"":""肝气犯胃"",""en"":""Liver-Qi invading stomach"",""type"":""SUBSTANCE""},{""zh"":""胃"",""en"":""stomach"",""type"":""ORGAN""},{""zh"":""和降"",""en"":""harmonizing and descending"",""type"":""THERAPY""}]","[{""zh"":""胃"",""en"":""stomach"",""type"":""ORGAN""},{""zh"":""和降"",""en"":""harmonizing and descending"",""type"":""THERAPY""}]"
