model_id,entity_type,term_occurrences,hits,TA
B1_general_translation,CONCEPT,77,4,5.1948
B1_general_translation,DIAGNOSIS,263,28,10.6464
B1_general_translation,DISEASE,7,2,28.5714
B1_general_translation,ELEMENT,20,9,45.0
B1_general_translation,FLUID,2,1,50.0
B1_general_translation,FUNCTION,3,0,0.0
B1_general_translation,LOCATION,3,2,66.6667
B1_general_translation,MERIDIAN,7,0,0.0
B1_general_translation,ORGAN,33,5,15.1515
B1_general_translation,ORGAN_GROUP,4,0,0.0
B1_general_translation,ORGAN_SYSTEM,4,0,0.0
B1_general_translation,PATHOGEN,68,16,23.5294
B1_general_translation,PATHOGENESIS,22,1,4.5455
B1_general_translation,PATHOLOGY,4,1,25.0
B1_general_translation,PHYSIOLOGY,3,0,0.0
B1_general_translation,SUBSTANCE,62,1,1.6129
B1_general_translation,SYMPTOM,43,13,30.2326
B1_general_translation,SYNDROME,22,0,0.0
B1_general_translation,THEORY,1,0,0.0
B1_general_translation,THERAPY,28,1,3.5714
B1_general_translation,TISSUE,4,0,0.0
B2_domain_adapted,CONCEPT,77,31,40.2597
B2_domain_adapted,DIAGNOSIS,263,63,23.9544
B2_domain_adapted,DISEASE,7,3,42.8571
B2_domain_adapted,ELEMENT,20,14,70.0
B2_domain_adapted,FLUID,2,1,50.0
B2_domain_adapted,FUNCTION,3,1,33.3333
B2_domain_adapted,LOCATION,3,3,100.0
B2_domain_adapted,MERIDIAN,7,0,0.0
B2_domain_adapted,ORGAN,33,17,51.5152
B2_domain_adapted,ORGAN_GROUP,4,0,0.0
B2_domain_adapted,ORGAN_SYSTEM,4,0,0.0
B2_domain_adapted,PATHOGEN,68,40,58.8235
B2_domain_adapted,PATHOGENESIS,22,3,13.6364
B2_domain_adapted,PATHOLOGY,4,2,50.0
B2_domain_adapted,PHYSIOLOGY,3,0,0.0
B2_domain_adapted,SUBSTANCE,62,12,19.3548
B2_domain_adapted,SYMPTOM,43,13,30.2326
B2_domain_adapted,SYNDROME,22,4,18.1818
B2_domain_adapted,THEORY,1,0,0.0
B2_domain_adapted,THERAPY,28,1,3.5714
B2_domain_adapted,TISSUE,4,0,0.0
B3_entity_aware,CONCEPT,77,44,57.1429
B3_entity_aware,DIAGNOSIS,263,136,51.711
B3_entity_aware,DISEASE,7,3,42.8571
B3_entity_aware,ELEMENT,20,17,85.0
B3_entity_aware,FLUID,2,2,100.0
B3_entity_aware,FUNCTION,3,3,100.0
B3_entity_aware,LOCATION,3,2,66.6667
B3_entity_aware,MERIDIAN,7,6,85.7143
B3_entity_aware,ORGAN,33,28,84.8485
B3_entity_aware,ORGAN_GROUP,4,4,100.0
B3_entity_aware,ORGAN_SYSTEM,4,3,75.0
B3_entity_aware,PATHOGEN,68,37,54.4118
B3_entity_aware,PATHOGENESIS,22,16,72.7273
B3_entity_aware,PATHOLOGY,4,3,75.0
B3_entity_aware,PHYSIOLOGY,3,3,100.0
B3_entity_aware,SUBSTANCE,62,35,56.4516
B3_entity_aware,SYMPTOM,43,21,48.8372
B3_entity_aware,SYNDROME,22,10,45.4545
B3_entity_aware,THEORY,1,1,100.0
B3_entity_aware,THERAPY,28,10,35.7143
B3_entity_aware,TISSUE,4,1,25.0
Ours_entity_aware_domain_adapted,CONCEPT,77,45,58.4416
Ours_entity_aware_domain_adapted,DIAGNOSIS,263,150,57.0342
Ours_entity_aware_domain_adapted,DISEASE,7,3,42.8571
Ours_entity_aware_domain_adapted,ELEMENT,20,19,95.0
Ours_entity_aware_domain_adapted,FLUID,2,2,100.0
Ours_entity_aware_domain_adapted,FUNCTION,3,3,100.0
Ours_entity_aware_domain_adapted,LOCATION,3,3,100.0
Ours_entity_aware_domain_adapted,MERIDIAN,7,6,85.7143
Ours_entity_aware_domain_adapted,ORGAN,33,28,84.8485
Ours_entity_aware_domain_adapted,ORGAN_GROUP,4,3,75.0
Ours_entity_aware_domain_adapted,ORGAN_SYSTEM,4,3,75.0
Ours_entity_aware_domain_adapted,PATHOGEN,68,41,60.2941
Ours_entity_aware_domain_adapted,PATHOGENESIS,22,15,68.1818
Ours_entity_aware_domain_adapted,PATHOLOGY,4,3,75.0
Ours_entity_aware_domain_adapted,PHYSIOLOGY,3,3,100.0
Ours_entity_aware_domain_adapted,SUBSTANCE,62,37,59.6774
Ours_entity_aware_domain_adapted,SYMPTOM,43,22,51.1628
Ours_entity_aware_domain_adapted,SYNDROME,22,13,59.0909
Ours_entity_aware_domain_adapted,THEORY,1,1,100.0
Ours_entity_aware_domain_adapted,THERAPY,28,10,35.7143
Ours_entity_aware_domain_adapted,TISSUE,4,1,25.0
