id,split,source,source_for_model,reference,prediction_raw,prediction_clean,prediction_normalized,prediction,normalization_used,entities,entities_eval,entities_model,entities_gold
TCM_TEST_0001,test,同病异治体现了辨证论治的灵活性。,同病异治体现了辨证论治的灵活性。,Treating the same disease with different methods reflects the flexibility of treatment based on syndrome differentiation.,The pathogenesis of the same pathogenesis reflects the flexibility of dialectic treatment.,The pathogenesis of the same pathogenesis reflects the flexibility of dialectic treatment.,The pathogenesis of the same pathogenesis reflects the flexibility of dialectic treatment.,The pathogenesis of the same pathogenesis reflects the flexibility of dialectic treatment.,False,"[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]","[{""zh"": ""同病异治"", ""en"": ""treating the same disease with different methods"", ""type"": ""DISEASE""}, {""zh"": ""辨证论治"", ""en"": ""treatment based on syndrome differentiation"", ""type"": ""SYNDROME""}]"
TCM_TEST_0002,test,异病同治适用于不同疾病表现相同证候的情况。,异病同治适用于不同疾病表现相同证候的情况。,Treating different diseases with the same therapy applies when different diseases manifest the same syndrome.,Hemogeneous diseases apply to situations where different diseases manifest the same symptoms.,Hemogeneous diseases apply to situations where different diseases manifest the same symptoms.,Hemogeneous diseases apply to situations treating different diseases with the same therapy symptoms.,Hemogeneous diseases apply to situations where different diseases manifest the same symptoms.,False,"[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]",[],"[{""zh"": ""异病同治"", ""en"": ""treating different diseases with the same therapy"", ""type"": ""DISEASE""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]"
TCM_TEST_0003,test,麻疹初期透疹不畅时应采用透疹法。,麻疹初期透疹不畅时应采用透疹法。,"When measles eruption is delayed at the early stage, the eruption-promoting method should be applied.",Inflammation of rash at the beginning of measles should be used as a method of permeating rash.,Inflammation of rash at the beginning of measles should be used as a method of permeating rash.,Inflammation of rash at the beginning of measles should be used as a method of permeating rash.,Inflammation of rash at the beginning of measles should be used as a method of permeating rash.,False,"[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]","[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]",[],"[{""zh"": ""透疹法"", ""en"": ""eruption-promoting method"", ""type"": ""THERAPY""}, {""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}]"
TCM_TEST_0004,test,肺热为主的麻疹中期应清泄肺热。,肺热为主的麻疹中期应清泄肺热。,"In the middle stage of measles dominated by lung heat, lung heat should be cleared.","Measles, which are dominated by lung heat, should be released from lung fever in the medium term.","Measles, which are dominated by lung heat, should be released from lung fever in the medium term.","Measles, which are dominated by lung heat, should be released from lung fever in the medium term.","Measles, which are dominated by lung heat, should be released from lung fever in the medium term.",False,"[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]","[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]",[],"[{""zh"": ""麻疹"", ""en"": ""measles"", ""type"": ""SYMPTOM""}, {""zh"": ""肺热"", ""en"": ""lung heat"", ""type"": ""PATHOGEN""}, {""zh"": ""清泄"", ""en"": ""clearing"", ""type"": ""THERAPY""}, {""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}]"
TCM_TEST_0005,test,阴阳学说可用于分析人体的生理活动。,阴阳学说可用于分析人体的生理活动。,Yin-Yang theory can be used to analyze physiological activities of the human body.,Yin-yang doctrine can be used to analyse the physiological activities of the human body.,Yin-yang doctrine can be used to analyse the physiological activities of the human body.,Yin-yang doctrine can be used to analyse the physiological activities of the human body.,Yin-yang doctrine can be used to analyse the physiological activities of the human body.,False,"[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""生理活动"", ""en"": ""physiological activities"", ""type"": ""CONCEPT""}, {""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}]"
TCM_TEST_0006,test,阴阳学说可用于说明疾病的病理变化。,阴阳学说可用于说明疾病的病理变化。,Yin-Yang theory can be used to explain pathological changes of disease.,Yin-yang doctrine can be used to describe pathogenesis of disease.,Yin-yang doctrine can be used to describe pathogenesis of disease.,Yin-yang doctrine can be used to describe pathogenesis of disease.,Yin-yang doctrine can be used to describe pathogenesis of disease.,False,"[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}]","[{""zh"": ""阴阳学说"", ""en"": ""Yin-Yang theory"", ""type"": ""SUBSTANCE""}, {""zh"": ""病理变化"", ""en"": ""pathological changes"", ""type"": ""PATHOLOGY""}, {""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}]"
TCM_TEST_0007,test,动属阳，静属阴。,动属阳，静属阴。,"Motion pertains to Yang, and stillness pertains to Yin.",The movement belongs to the Yang and the Qi belongs to the Yin.,The movement belongs to the Yang and the Qi belongs to the Yin.,The movement belongs to the Yang and the Qi belongs to the Yin.,The movement belongs to the Yang and the Qi belongs to the Yin.,False,"[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""动"", ""en"": ""motion"", ""type"": ""CONCEPT""}, {""zh"": ""静"", ""en"": ""stillness"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0008,test,外属阳，内属阴。,外属阳，内属阴。,"The exterior pertains to Yang, and the interior pertains to Yin.",The outer side belongs to the Yang and the inner side to the Yin.,The outer side belongs to the Yang and the inner side to the Yin.,The outer side belongs to the Yang and the inner side to the Yin.,The outer side belongs to the Yang and the inner side to the Yin.,False,"[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0009,test,上属阳，下属阴。,上属阳，下属阴。,"The upper pertains to Yang, and the lower pertains to Yin.","Up there belongs to the Yang, subordinate Yin.","Up there belongs to the Yang, subordinate Yin.","Up there belongs to the Yang, subordinate Yin.","Up there belongs to the Yang, subordinate Yin.",False,"[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""上"", ""en"": ""upper"", ""type"": ""DIAGNOSIS""}, {""zh"": ""下"", ""en"": ""lower"", ""type"": ""THERAPY""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0010,test,热属阳，寒属阴。,热属阳，寒属阴。,"Heat pertains to Yang, and cold pertains to Yin.",Heat belongs to the Yang and cold belongs to the Yin.,Heat belongs to the Yang and cold belongs to the Yin.,Heat belongs to the Yang and cold belongs to the Yin.,Heat belongs to the Yang and cold belongs to the Yin.,False,"[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""热"", ""en"": ""heat"", ""type"": ""PATHOGEN""}, {""zh"": ""寒"", ""en"": ""cold"", ""type"": ""PATHOGEN""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0011,test,功能属阳，物质属阴。,功能属阳，物质属阴。,"Function pertains to Yang, and substance pertains to Yin.",The function belongs to the Yang and the substance belongs to the Yin.,The function belongs to the Yang and the substance belongs to the Yin.,The function belongs to the Yang and the substance belongs to the Yin.,The function belongs to the Yang and the substance belongs to the Yin.,False,"[{""zh"": ""功能"", ""en"": ""function"", ""type"": ""DIAGNOSIS""}, {""zh"": ""物质"", ""en"": ""substance"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""功能"", ""en"": ""function"", ""type"": ""DIAGNOSIS""}, {""zh"": ""物质"", ""en"": ""substance"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""功能"", ""en"": ""function"", ""type"": ""DIAGNOSIS""}, {""zh"": ""物质"", ""en"": ""substance"", ""type"": ""CONCEPT""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0012,test,人体背部多属阳，腹部多属阴。,人体背部多属阳，腹部多属阴。,"The back of the human body mostly pertains to Yang, while the abdomen mostly pertains to Yin.",The back of the body belongs to the Yang and the stomach to the Yin.,The back of the body belongs to the Yang and the stomach to the Yin.,The back of the body belongs to the Yang and the stomach to the Yin.,The back of the body belongs to the Yang and the stomach to the Yin.,False,"[{""zh"": ""背部"", ""en"": ""back"", ""type"": ""LOCATION""}, {""zh"": ""腹部"", ""en"": ""abdomen"", ""type"": ""LOCATION""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""背部"", ""en"": ""back"", ""type"": ""LOCATION""}, {""zh"": ""腹部"", ""en"": ""abdomen"", ""type"": ""LOCATION""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]","[{""zh"": ""背部"", ""en"": ""back"", ""type"": ""LOCATION""}, {""zh"": ""腹部"", ""en"": ""abdomen"", ""type"": ""LOCATION""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}, {""zh"": ""阴"", ""en"": ""Yin"", ""type"": ""CONCEPT""}]"
TCM_TEST_0013,test,四肢外侧多属阳，四肢内侧多属阴。,四肢外侧多属阳，四肢内侧多属阴。,"The lateral sides of the limbs mostly pertain to Yang, while the medial sides mostly pertain to Yin.",The outer side of the limbs belongs mostly to the Yang and the inner side of the limbs to the Yin.,The outer side of the limbs belongs mostly to the Yang and the inner side of the limbs to the Yin.,The outer side of the limbs belongs mostly to the Yang and the inner side of the limbs to the Yin.,The outer side of the limbs belongs mostly to the Yang and the inner side of the limbs to the Yin.,False,[],[],"[{""zh"": ""四肢外侧"", ""en"": ""lateral sides of limbs"", ""type"": ""LOCATION""}, {""zh"": ""四肢内侧"", ""en"": ""medial sides of limbs"", ""type"": ""LOCATION""}]","[{""zh"": ""四肢外侧"", ""en"": ""lateral sides of limbs"", ""type"": ""LOCATION""}, {""zh"": ""四肢内侧"", ""en"": ""medial sides of limbs"", ""type"": ""LOCATION""}, {""zh"": ""外"", ""en"": ""exterior"", ""type"": ""DIAGNOSIS""}, {""zh"": ""内"", ""en"": ""interior"", ""type"": ""DIAGNOSIS""}]"
TCM_TEST_0014,test,阴阳失去平衡可导致疾病发生。,阴阳失去平衡可导致疾病发生。,Loss of balance between Yin and Yang can lead to disease.,The Yin-Yang loss of balance can lead to disease.,The Yin-Yang loss of balance can lead to disease.,The Yin and Yang loss of balance can lead to disease.,The Yin-Yang loss of balance can lead to disease.,False,"[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""平衡"", ""en"": ""balance"", ""type"": ""CONCEPT""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""平衡"", ""en"": ""balance"", ""type"": ""CONCEPT""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}]","[{""zh"": ""阴阳"", ""en"": ""Yin and Yang"", ""type"": ""THEORY""}, {""zh"": ""平衡"", ""en"": ""balance"", ""type"": ""CONCEPT""}, {""zh"": ""疾病"", ""en"": ""disease"", ""type"": ""DISEASE""}, {""zh"": ""阳"", ""en"": ""Yang"", ""type"": ""CONCEPT""}]"
