id,split,tokens_json,labels_json,zh,span_count,char_count
TCM_TRAIN_0001,train,"[""中"",""医"",""学"",""理"",""论"",""体"",""系"",""以"",""整"",""体"",""观"",""念"",""为"",""主"",""导"",""思"",""想"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O""]",中医学理论体系以整体观念为主导思想。,2,18
TCM_TRAIN_0002,train,"[""中"",""医"",""学"",""以"",""脏"",""腑"",""经"",""络"",""的"",""生"",""理"",""和"",""病"",""理"",""为"",""基"",""础"",""。""]","[""O"",""O"",""O"",""O"",""B-ORGAN"",""I-ORGAN"",""B-ORGAN"",""I-ORGAN"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O""]",中医学以脏腑经络的生理和病理为基础。,2,18
TCM_TRAIN_0003,train,"[""中"",""医"",""学"",""以"",""辨"",""证"",""论"",""治"",""为"",""诊"",""疗"",""特"",""点"",""。""]","[""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",中医学以辨证论治为诊疗特点。,2,14
TCM_TRAIN_0004,train,"[""中"",""医"",""学"",""认"",""为"",""人"",""体"",""与"",""自"",""然"",""界"",""有"",""密"",""切"",""联"",""系"",""。""]","[""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",中医学认为人体与自然界有密切联系。,3,17
TCM_TRAIN_0005,train,"[""中"",""医"",""学"",""重"",""视"",""预"",""防"",""并"",""主"",""张"",""治"",""未"",""病"",""。""]","[""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",中医学重视预防并主张治未病。,2,14
TCM_TRAIN_0006,train,"[""辨"",""证"",""要"",""辨"",""清"",""疾"",""病"",""的"",""病"",""因"",""、"",""性"",""质"",""、"",""部"",""位"",""及"",""正"",""邪"",""关"",""系"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",辨证要辨清疾病的病因、性质、部位及正邪关系。,3,22
TCM_TRAIN_0007,train,"[""论"",""治"",""根"",""据"",""辨"",""证"",""结"",""果"",""确"",""定"",""治"",""疗"",""原"",""则"",""和"",""方"",""法"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O""]",论治根据辨证结果确定治疗原则和方法。,3,18
TCM_TRAIN_0008,train,"[""阴"",""阳"",""概"",""括"",""相"",""互"",""关"",""联"",""事"",""物"",""和"",""现"",""象"",""的"",""两"",""个"",""对"",""立"",""方"",""面"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",阴阳概括相互关联事物和现象的两个对立方面。,2,21
TCM_TRAIN_0009,train,"[""阴"",""阳"",""既"",""相"",""互"",""对"",""立"",""，"",""又"",""相"",""互"",""依"",""存"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",阴阳既相互对立，又相互依存。,3,14
TCM_TRAIN_0010,train,"[""阴"",""阳"",""消"",""长"",""维"",""持"",""阴"",""阳"",""之"",""间"",""的"",""相"",""对"",""平"",""衡"",""。""]","[""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O"",""O"",""O"",""O"",""O"",""O"",""O"",""B-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""I-CONCEPT"",""O""]",阴阳消长维持阴阳之间的相对平衡。,2,16
