reason,id_a,split_a,zh_a,en_a,id_b,split_b,zh_b,en_b,zh_similarity,en_similarity,removed_id_for_strict
cross_split_near_zh,TCM_TRAIN_0194,train,痰阻经络可导致肢体麻木。,Phlegm obstructing the meridians can lead to numbness of the limbs.,TCM_TEST_0216,test,风痰阻络可导致肢体麻木。,Wind-phlegm obstructing the collaterals can cause numbness of the limbs.,0.9091,0.7863,TCM_TRAIN_0194
cross_split_near_zh,TCM_TRAIN_0258,train,剥苔多提示胃阴不足。,A peeled coating often indicates insufficiency of stomach Yin.,TCM_TEST_0161,test,苔少多提示胃阴不足。,Scanty coating often indicates insufficiency of stomach Yin.,0.8889,0.8952,TCM_TRAIN_0258
cross_split_near_en,TCM_TRAIN_0320,train,奇经八脉调节十二经脉的气血。,The eight extraordinary vessels regulate Qi and blood in the twelve regular channels.,TCM_TEST_0075,test,奇经八脉调节正经气血。,The eight extraordinary vessels regulate Qi and blood in the regular channels.,0.7826,0.9565,TCM_TRAIN_0320
cross_split_near_zh,TCM_TRAIN_0833,train,心气不足可导致血脉运行无力。,Insufficiency of heart-qi can cause weak movement of blood vessels.,TCM_TEST_0111,test,心气不足可使血脉运行无力。,Insufficiency of heart-Qi can weaken movement in the blood vessels.,0.88,0.875,TCM_TRAIN_0833
cross_split_near_zh,TCM_TRAIN_0837,train,心阴不足可导致虚热内扰。,Insufficiency of heart-yin can cause internal disturbance by deficiency heat.,TCM_TEST_0114,test,心阴不足可导致虚热扰心。,Insufficiency of heart Yin can cause deficiency heat to disturb the heart.,0.9091,0.7031,TCM_TRAIN_0837
normalized_en_duplicate,TCM_TRAIN_0849,train,脾阳不足可导致寒湿内生。,Insufficiency of spleen-yang can cause endogenous cold-dampness.,TCM_TEST_0120,test,脾阳不足可使寒湿内生。,Insufficiency of spleen Yang can cause endogenous cold-dampness.,0.8571,1.0,TCM_TRAIN_0849
cross_split_near_zh,TCM_TRAIN_0857,train,肝血不足可导致筋目失养。,Insufficiency of liver-blood can cause malnutrition of tendons and eyes.,TCM_TEST_0125,test,肝血不足可导致目失所养。,Insufficiency of liver blood can deprive the eyes of nourishment.,0.9091,0.6379,TCM_TRAIN_0857
normalized_en_duplicate,TCM_TRAIN_0859,train,肝阴不足可导致肝阳偏亢。,Insufficiency of liver-yin can cause relative hyperactivity of Liver-Yang.,TCM_DEV_0107,dev,肝阴不足可使肝阳偏亢。,Insufficiency of liver Yin can cause relative hyperactivity of liver Yang.,0.8571,1.0,TCM_TRAIN_0859
cross_split_near_zh,TCM_TRAIN_0967,train,小便清长多提示阳虚寒盛。,Clear profuse urine often indicates Yang deficiency with exuberant cold.,TCM_TEST_0172,test,小便清长多提示阳虚内寒。,Clear profuse urine often indicates internal cold due to Yang deficiency.,0.9091,0.7258,TCM_TRAIN_0967
cross_split_near_zh,TCM_TRAIN_0979,train,疮面红活多提示气血来复。,A fresh red wound surface often indicates restoration of Qi and blood.,TCM_DEV_0040,dev,疮面肉芽红活多提示气血来复。,Fresh red granulation on the wound surface often indicates recovery of Qi and blood.,0.9167,0.7812,TCM_TRAIN_0979
cross_split_near_en,TCM_DEV_0248,dev,小儿肺脾两虚可使咳喘反复。,Deficiency of the lungs and spleen in children can cause recurrent cough and panting.,TCM_TEST_0196,test,小儿肺脾不足可导致反复咳喘。,Insufficiency of the lungs and spleen in children can cause recurrent cough and panting.,0.56,0.9517,TCM_DEV_0248
