model_id,entity_type,term_occurrences,hits,TA
B1_general_translation,CONCEPT,21,0,0.0
B1_general_translation,DIAGNOSIS,91,30,32.967
B1_general_translation,DISEASE,14,12,85.7143
B1_general_translation,ELEMENT,35,13,37.1429
B1_general_translation,ETIOLOGY,14,4,28.5714
B1_general_translation,FLUID,23,19,82.6087
B1_general_translation,FUNCTION,48,0,0.0
B1_general_translation,LOCATION,19,10,52.6316
B1_general_translation,MERIDIAN,19,0,0.0
B1_general_translation,ORGAN,209,98,46.89
B1_general_translation,ORGAN_GROUP,4,0,0.0
B1_general_translation,ORGAN_SYSTEM,27,0,0.0
B1_general_translation,ORIFICE,4,0,0.0
B1_general_translation,PATHOGEN,97,24,24.7423
B1_general_translation,PATHOGENESIS,4,0,0.0
B1_general_translation,PATHOLOGY,86,11,12.7907
B1_general_translation,PHYSIOLOGY,26,8,30.7692
B1_general_translation,SUBSTANCE,221,45,20.362
B1_general_translation,SYMPTOM,63,23,36.5079
B1_general_translation,SYNDROME,75,2,2.6667
B1_general_translation,THERAPY,18,8,44.4444
B1_general_translation,TISSUE,21,14,66.6667
B2_domain_adapted,CONCEPT,21,0,0.0
B2_domain_adapted,DIAGNOSIS,91,54,59.3407
B2_domain_adapted,DISEASE,14,12,85.7143
B2_domain_adapted,ELEMENT,35,18,51.4286
B2_domain_adapted,ETIOLOGY,14,1,7.1429
B2_domain_adapted,FLUID,23,21,91.3043
B2_domain_adapted,FUNCTION,48,0,0.0
B2_domain_adapted,LOCATION,19,12,63.1579
B2_domain_adapted,MERIDIAN,19,1,5.2632
B2_domain_adapted,ORGAN,209,130,62.201
B2_domain_adapted,ORGAN_GROUP,4,0,0.0
B2_domain_adapted,ORGAN_SYSTEM,27,0,0.0
B2_domain_adapted,ORIFICE,4,2,50.0
B2_domain_adapted,PATHOGEN,97,29,29.8969
B2_domain_adapted,PATHOGENESIS,4,0,0.0
B2_domain_adapted,PATHOLOGY,86,8,9.3023
B2_domain_adapted,PHYSIOLOGY,26,10,38.4615
B2_domain_adapted,SUBSTANCE,221,97,43.8914
B2_domain_adapted,SYMPTOM,63,20,31.746
B2_domain_adapted,SYNDROME,75,1,1.3333
B2_domain_adapted,THERAPY,18,8,44.4444
B2_domain_adapted,TISSUE,21,14,66.6667
B3_entity_aware,CONCEPT,21,21,100.0
B3_entity_aware,DIAGNOSIS,91,81,89.011
B3_entity_aware,DISEASE,14,13,92.8571
B3_entity_aware,ELEMENT,35,32,91.4286
B3_entity_aware,ETIOLOGY,14,12,85.7143
B3_entity_aware,FLUID,23,21,91.3043
B3_entity_aware,FUNCTION,48,47,97.9167
B3_entity_aware,LOCATION,19,15,78.9474
B3_entity_aware,MERIDIAN,19,19,100.0
B3_entity_aware,ORGAN,209,196,93.7799
B3_entity_aware,ORGAN_GROUP,4,4,100.0
B3_entity_aware,ORGAN_SYSTEM,27,26,96.2963
B3_entity_aware,ORIFICE,4,4,100.0
B3_entity_aware,PATHOGEN,97,91,93.8144
B3_entity_aware,PATHOGENESIS,4,3,75.0
B3_entity_aware,PATHOLOGY,86,74,86.0465
B3_entity_aware,PHYSIOLOGY,26,24,92.3077
B3_entity_aware,SUBSTANCE,221,211,95.4751
B3_entity_aware,SYMPTOM,63,53,84.127
B3_entity_aware,SYNDROME,75,68,90.6667
B3_entity_aware,THERAPY,18,17,94.4444
B3_entity_aware,TISSUE,21,21,100.0
Ours_entity_aware_domain_adapted,CONCEPT,21,21,100.0
Ours_entity_aware_domain_adapted,DIAGNOSIS,91,91,100.0
Ours_entity_aware_domain_adapted,DISEASE,14,14,100.0
Ours_entity_aware_domain_adapted,ELEMENT,35,35,100.0
Ours_entity_aware_domain_adapted,ETIOLOGY,14,14,100.0
Ours_entity_aware_domain_adapted,FLUID,23,23,100.0
Ours_entity_aware_domain_adapted,FUNCTION,48,48,100.0
Ours_entity_aware_domain_adapted,LOCATION,19,19,100.0
Ours_entity_aware_domain_adapted,MERIDIAN,19,19,100.0
Ours_entity_aware_domain_adapted,ORGAN,209,209,100.0
Ours_entity_aware_domain_adapted,ORGAN_GROUP,4,4,100.0
Ours_entity_aware_domain_adapted,ORGAN_SYSTEM,27,27,100.0
Ours_entity_aware_domain_adapted,ORIFICE,4,4,100.0
Ours_entity_aware_domain_adapted,PATHOGEN,97,97,100.0
Ours_entity_aware_domain_adapted,PATHOGENESIS,4,4,100.0
Ours_entity_aware_domain_adapted,PATHOLOGY,86,86,100.0
Ours_entity_aware_domain_adapted,PHYSIOLOGY,26,26,100.0
Ours_entity_aware_domain_adapted,SUBSTANCE,221,221,100.0
Ours_entity_aware_domain_adapted,SYMPTOM,63,63,100.0
Ours_entity_aware_domain_adapted,SYNDROME,75,72,96.0
Ours_entity_aware_domain_adapted,THERAPY,18,18,100.0
Ours_entity_aware_domain_adapted,TISSUE,21,21,100.0
